,Instance Id,Instance Name,Is Dead,User Count,Description,Short,topic,active users
0,5ae72ab0c8ec996cd1ee7db3,thevillastraylight.com,False,2,"A Pleroma instance, an alternative fediverse server",,La Villa Straylight,
1,63a11195584f7ddba6d882ac,mastodon.clusterfucks.nl,False,5,"<p>This is a private Mastodon instance.</p>
",A private instance.,Mastodon,
2,637b23a2ad72ace2dcf16bd4,pixels.stormgrass.com,False,1,"Pixelfed is an image sharing platform, an ethical alternative to centralized platforms.",Where the food and other bits go,Pixelfed,
3,637cd91645273fd7ff114bb6,stade.social,False,4,"<p>Ein freier, öffentlicher Mastodon Server für Menschen aus und um Stade.</p>

<h2>Impressum</h2>

<p>Tobias Liebig
Helmster Weg 33
21680 Stade</p>
","Impressum

Tobias Liebig
Helmster Weg 33
21680 Stade",Stade.Social,
4,637b2d77d94dca7f11e7ac2a,mastodon.cf,False,429,Well - it's a Mastodon server.,Experimental Mastodon server.,My Mastodon Node,
5,6432e046d83e4a2b4835de48,mastodon.noebauer.xyz,False,1,,,Mastodon,
6,6437dfbc2476b8f07c2606e6,gts.jasminetea.uk,False,2,試しに立ててみた自分用gtsサーバーです。しばらくの間運用する予定です〜,,jasminetea,
7,637b2739ad72ace2dcf17c13,social.mrjeda.de,False,6,"Der Server steht natürlich nicht am Eibenhardt, mehr wird nicht verraten.",privater Server,Am Eibenhardt,
8,64f2cbf91fcd4d96531912a3,pregnant.social,False,1,"<p>An NSFW Mastodon instance dedicated to furry pregnancy kinks. </p>

<p>A place to show and admire bumps! </p>

<p>Running on a Raspberry Pi CM4 8GB. </p>
","An LGBTQ+, furry, and kink-friendly pregnancy Mastodon instance. ",Pregnancy Mastodon,
9,637b36a8d94dca7f11e7d170,social.tthi.as,False,1,,"This is my vanity server. There are many like it, but this one is mine.",Mastodon,
10,637b3611d94dca7f11e7cee6,mastodon.common.se,False,8,,Private server used by commonists,Common,
11,640886dc700ca62360acb760,mastodon.nakadashi.mobi,False,1,,,Mastodon,
12,63e7407bd8c60010e7831c38,mstdn.aotake91.net,False,1,,青竹 / 麦（穀物P）の個人用Mastodonサーバー（インスタンス）,青竹荘 個人Mastodon,
13,64a69dc0974d925448604a76,toot.zip,False,3,"<p>i happened to get <code>toot.zip</code>. nice.</p>
",<generic mastodon instance description>,Zippy Toots,
14,639917e00f9a1eec1dab671f,outdoors.lgbt,False,911,"<p>Hosted on <a href=""https://mastodon.social/@fedihost"">FediHost.io</a>. We are a safe space for LGBTQIA+ individuals and staunch allies that love the outdoors.</p>

<p><b>We are committed to the <a href=""https://joinmastodon.org/covenant"">Mastodon Server Covenant</a>.</b></p>

<p><p><p>
<b>Please consider <a href=""https://ko-fi.com/lilymooncohen"">donating for server costs here.</b></a></p>
",outdoors.lgbt is a safe space for LGBTQIA+ individuals and staunch allies that love the outdoors. Join us!,outdoors.lgbt,
