,Unnamed: 0.1,Unnamed: 0,instance,rule,preprocessed rules,lang,translated rules,formality label,formality score,genre label,genre score
0,0,0,fouroclockfarms.club,"Be gay, grow wheat.
Follow the Code of Conduct ",be gay grow wheat follow the code of conduct,English,be gay grow wheat follow the code of conduct,informal,0.9970284104347229,Information/Explanation,Information/Explanation
1,1,1,fouroclockfarms.club,Trans Rights are Human Rights,trans rights are human rights,English,trans rights are human rights,informal,0.9807573556900024,Promotion,Promotion
2,2,2,fouroclockfarms.club,"Nudity, lewdity, violence, gore, drug & alcohol use, and sensitive images and topics must be behind a Content Warning and have media marked as 'Sensitive.'",nudity lewdity violence gore drug alcohol use and sensitive images and topics must be behind a content warning and have media marked as sensitive,English,nudity lewdity violence gore drug alcohol use and sensitive images and topics must be behind a content warning and have media marked as sensitive,informal,0.8498791456222534,Information/Explanation,Information/Explanation
3,3,3,fouroclockfarms.club,"No excessive posting of non-original content from other social media, or news sites.",no excessive posting of nonoriginal content from other social media or news sites,English,no excessive posting of nonoriginal content from other social media or news sites,informal,0.9297837018966675,Legal,Legal
4,4,4,fouroclockfarms.club,No bulk posting or spamming the timeline,no bulk posting or spamming the timeline,English,no bulk posting or spamming the timeline,informal,0.996882438659668,Other,Other
5,5,5,fouroclockfarms.club,"Absolutely no sexual depictions of children or minors, including artistic depictions.",absolutely no sexual depictions of children or minors including artistic depictions,English,absolutely no sexual depictions of children or minors including artistic depictions,informal,0.9242764115333557,Information/Explanation,Information/Explanation
6,6,6,fouroclockfarms.club,"No commercial or third party advertising. Self promotion by creators, artists, sw, etc and sharing such content is fine. Posting/sharing mutual and community aid is also fine.",no commercial or third party advertising self promotion by creators artists sw etc and sharing such content is fine postingsharing mutual and community aid is also fine,English,no commercial or third party advertising self promotion by creators artists sw etc and sharing such content is fine postingsharing mutual and community aid is also fine,informal,0.9791405200958252,Promotion,Promotion
7,7,7,fouroclockfarms.club,"Purposefully avoiding proper names for people, places, things, events, technologies, ideologies, philosophies, etc, with the intent to bypass user filters will result in suspension.",purposefully avoiding proper names for people places things events technologies ideologies philosophies etc with the intent to bypass user filters will result in suspension,English,purposefully avoiding proper names for people places things events technologies ideologies philosophies etc with the intent to bypass user filters will result in suspension,informal,0.9511135220527649,Forum,Forum
8,8,8,dembowski.social,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English,sexually explicit or violent media must be marked as sensitive when posting,formal,0.9112115502357483,Legal,Legal
9,9,9,dembowski.social,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih,no racism sexism homophobia transphobia xenophobia or casteism,informal,0.9974828362464905,Information/Explanation,Information/Explanation
10,10,10,dembowski.social,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies,informal,0.9676808714866638,Promotion,Promotion
11,11,11,dembowski.social,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English,no harassment dogpiling or doxxing of other users,informal,0.9965498447418213,Legal,Legal
12,12,12,dembowski.social,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English,do not share intentionally false or misleading information,formal,0.916638970375061,Legal,Legal
13,13,16,mastodon.white-void.net,"(個人利用専用) このサーバは個人利用専用です。

自分(@nya2510)以外からの登録は受け付けません。",個人利用専用 このサーバは個人利用専用です 自分nya2510以外からの登録は受け付けません,non-Englsih,This server for personal use is for personal use. We do not accept registration from NYA2510.,formal,0.9986207485198975,Information/Explanation,Information/Explanation
14,14,17,mastodon.white-void.net,"(実験用) このサーバは実験用です。

無くなると管理者が困るので極力正しい状態を維持しますが、突然爆発して無くなるかもしれません。 ",実験用 このサーバは実験用です 無くなると管理者が困るので極力正しい状態を維持しますが突然爆発して無くなるかもしれません,non-Englsih,"This server for experiments is an experimental use, so if it is gone, the administrator will be troubled, so it will maintain the correct condition as much as possible, but it may disappear suddenly.",formal,0.9986338019371033,Instruction,Instruction
15,15,18,mastodon.breiteberg.de,"keine illegalen Inhalte, keine Pornografie",keine illegalen inhalte keine pornografie,non-Englsih,No illegal content no pornography,informal,0.849618136882782,Promotion,Promotion
16,16,19,mastodon.breiteberg.de,keine Hassreden,keine hassreden,non-Englsih,no hate speeches,informal,0.9968163371086121,News,News
17,17,20,mastodon.breiteberg.de,zivilisierter Umgang miteinander ist Pflicht,zivilisierter umgang miteinander ist pflicht,non-Englsih,civilized interaction with each other is a must,informal,0.9703989624977112,Information/Explanation,Information/Explanation
18,18,21,unitedmastodon.com,No hate speech or harmful behavior.,no hate speech or harmful behavior,English,no hate speech or harmful behavior,informal,0.9957614541053772,Promotion,Promotion
19,19,22,unitedmastodon.com,Be polite.,be polite,non-Englsih,be polite,informal,0.9935437440872192,Prose/Lyrical,Prose/Lyrical
20,20,23,unitedmastodon.com,No discrimination.,no discrimination,non-Englsih,no discrimination,informal,0.9880484938621521,Information/Explanation,Information/Explanation
21,21,24,unitedmastodon.com,NSFW content (including nudity) MUST be marked as sensitive AND behind a content warning.,nsfw content including nudity must be marked as sensitive and behind a content warning,English,nsfw content including nudity must be marked as sensitive and behind a content warning,informal,0.9067418575286865,Instruction,Instruction
22,22,25,unitedmastodon.com,No content with unnecessary violence or gore.,no content with unnecessary violence or gore,English,no content with unnecessary violence or gore,informal,0.9933473467826843,Promotion,Promotion
23,23,26,unitedmastodon.com,No illegal content or activity.,no illegal content or activity,English,no illegal content or activity,informal,0.964931309223175,Legal,Legal
24,24,27,unitedmastodon.com,No sharing of personal information that Is not your own.,no sharing of personal information that is not your own,English,no sharing of personal information that is not your own,informal,0.9824267625808716,Legal,Legal
25,25,28,social.futurnumerique.com,"No discrimination, including (but not limited to) racism, sexism, homophobia or transphobia.",no discrimination including but not limited to racism sexism homophobia or transphobia,English,no discrimination including but not limited to racism sexism homophobia or transphobia,informal,0.9922243356704712,Legal,Legal
26,26,29,social.futurnumerique.com,No explicit (NSFW) content without content warnings and/or sensitive media markers. Explicit content must not be used in user avatars or header images.,no explicit nsfw content without content warnings andor sensitive media markers explicit content must not be used in user avatars or header images,English,no explicit nsfw content without content warnings andor sensitive media markers explicit content must not be used in user avatars or header images,informal,0.9917570948600769,Legal,Legal
27,27,30,social.futurnumerique.com,No harassment of other users on this or other instances.,no harassment of other users on this or other instances,English,no harassment of other users on this or other instances,informal,0.9903733730316162,Legal,Legal
28,28,31,social.futurnumerique.com,"No content illegal in the following countries: United Kingdom, Germany, France, Canada, USA",no content illegal in the following countries united kingdom germany france canada usa,English,no content illegal in the following countries united kingdom germany france canada usa,informal,0.9964122176170349,Legal,Legal
29,29,32,social.futurnumerique.com,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies,informal,0.9676808714866638,Promotion,Promotion
30,30,33,social.futurnumerique.com,No disinformation regarding public health issues or political/military campaigns.,no disinformation regarding public health issues or politicalmilitary campaigns,English,no disinformation regarding public health issues or politicalmilitary campaigns,informal,0.9719817638397217,Legal,Legal
31,31,34,social.futurnumerique.com,"No spam. This includes commercial advertising, promotional campaigns, and SEO.",no spam this includes commercial advertising promotional campaigns and seo,English,no spam this includes commercial advertising promotional campaigns and seo,informal,0.992563784122467,Promotion,Promotion
32,32,35,social.futurnumerique.com,"Moderation works on a 'best efforts' basis. Unless indicated otherwise, all decisions should be considered final.",moderation works on a best efforts basis unless indicated otherwise all decisions should be considered final,English,moderation works on a best efforts basis unless indicated otherwise all decisions should be considered final,informal,0.5954447388648987,Legal,Legal
