,instance,rule,preprocessed rules,lang
6,mastodon.gougere.fr,"Voir la section ""A propos""",voir la section a propos,non-Englsih
7,oc.todon.fr,"Pas de bigotrie (misogynie, racisme, LGBTphobies/queerphobie, validisme, etc.)",pas de bigotrie misogynie racisme lgbtphobiesqueerphobie validisme etc,non-Englsih
8,oc.todon.fr,"La pornographie et la nudité doivent être obligatoirement indiquées comme ""NSFW"". De même pour contenus sensibles/choquants, qui doivent avoir un Content Warning approprié.",la pornographie et la nudité doivent être obligatoirement indiquées comme nsfw de même pour contenus sensibleschoquants qui doivent avoir un content warning approprié,non-Englsih
9,oc.todon.fr,Pas de publicités,pas de publicités,non-Englsih
10,oc.todon.fr,Pas de contenus illégaux,pas de contenus illégaux,non-Englsih
11,toot.cafe,Read the full Code of Conduct and abide by the rules. https://toot.cafe/about/more,read the full code of conduct and abide by the rules httpstootcafeaboutmore,English
12,mastodon.partipirate.org,Pas de contenu illicite.,pas de contenu illicite,non-Englsih
13,mastodon.cc,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
14,mastodon.cc,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
15,mastodon.cc,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
16,mastodon.cc,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English
17,mastodon.cc,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English
18,mastodon.ml,"Относитесь к другим пользователям с уважением. Харрасмент, разжигание ненависти (hate speech), трансфобия, гомофобия, расизм, сексизм, фашизм и прочие проявления шовинизма — запрещены",относитесь к другим пользователям с уважением харрасмент разжигание ненависти hate speech трансфобия гомофобия расизм сексизм фашизм и прочие проявления шовинизма запрещены,non-Englsih
19,mastodon.ml,Не разглашать чужую персональную информацию без согласия. Это относится как к пользователям сервера так и к людям вне него.,не разглашать чужую персональную информацию без согласия это относится как к пользователям сервера так и к людям вне него,non-Englsih
