Instance Name,birth
swiftdevs.space,Unknown error
mastodon.jamidisi-edu.de,2023-09-12T00:00:00.000Z
1uca.com,2023-11-02T00:00:00.000Z
india.goonj.xyz,2022-01-14T00:00:00.000Z
usuzakuraya.us,Data not available
crafty.social,Data not available
metapixl.com,2018-12-28T23:47:27.000000Z
paw.best,Unknown error
pixelfed.utopia-valley.com,Failed to retrieve instance information. Status code: 504
soundbyte.social,Unknown error
fioredon.ysizuku.com,Unknown error
djs.social,2023-07-03T00:00:00.000Z
zeppelin.flights,2023-02-05T00:00:00.000Z
bolha.one,2022-11-21T00:00:00.000Z
social.ivor.org,2022-11-08T00:00:00.000Z
tty0.social,2022-11-06T00:00:00.000Z
mastodon.thin.computer,Unknown error
thewizardingworld.com,2023-02-24T00:00:00.000Z
social.xiven.com,2023-10-10T00:00:00.000Z
ciberlandia.pt,2022-11-02T00:00:00.000Z
mastodon.eenoog.org,Unknown error
me.pptry.info,2023-08-10T00:00:00.000Z
social.bacardi55.io,2022-12-02T17:01:38.000Z
mastodon.horvath.com,2022-12-20T00:00:00.000Z
echoes.stolen.day,2022-05-05T00:00:00.000Z
procydon.net,2022-11-19T00:00:00.000Z
paopu.social,2023-07-02T00:00:00.000Z
social.kapellen.onl,2024-01-03T00:00:00.000Z
goyim.social,Data not available
anticapitalistcatgirl.club,2022-11-10T00:00:00.000Z
mastodon.cogindo.net,2022-10-30T00:00:00.000Z
tailored.social,Data not available
social.photo,Data not available
social.gaven.me,2022-12-22T00:00:00.000Z
mstdn.gingarenpo.com,Failed to retrieve instance information. Status code: 404
pixelfed.snowhouse.noho.st,Unknown error
social.agor.ist,Unknown error
mastodon.rfc1925.org,2022-11-19T00:00:00.000Z
catpost.ing,Unknown error
mastodon.hk,2017-04-08T00:00:00.000Z
mast.keyd.ru,2022-11-13T00:00:00.000Z
ansiktsburk.se,2022-12-21T00:00:00.000Z
mastodon.airi.tv,2022-11-18T00:00:00.000Z
fishsci.com,2024-05-15T00:00:00.000Z
middleearth.social,2022-11-14T00:00:00.000Z
mastodon.li7g.com,2022-11-11T00:00:00.000Z
mastodon.vanlife.is,2022-11-17T00:00:00.000Z
mastodon-ero.xyz,Unknown error
mastodon.cloudsecurityofficehours.com,Unknown error
algebra.chat,2022-11-08T00:00:00.000Z
freiewaehler.social,2022-12-06T00:00:00.000Z
joshuastrobl.social,2023-08-24T00:00:00.000Z
mastodon.thomaspreece.net,2022-11-18T00:00:00.000Z
mastodon.palmer.house,Data not available
