Instance Name,Total Statuses,Total Logins,Total Registrations,User Count
101010.pl,53467.0,4480.0,96.0,8369
13bells.com,215.0,29.0,0.0,8
17th.me,29.0,9.0,0.0,3
23.social,15197.0,1891.0,36.0,212
366.koyomi.online,484.0,12.0,0.0,1
4458644.xyz,3.0,7.0,0.0,1
4four.org,1.0,13.0,0.0,33
abc.mika.xyz,3.0,12.0,0.0,1
acra.network,0.0,12.0,0.0,1
aethernet.social,12.0,12.0,0.0,2
aethy.com,71212.0,36081.0,1623.0,32566
afterspace.rocks,7014.0,127.0,0.0,20
akiba.party,60.0,82.0,3.0,65
akirin.hostdon.ne.jp,0.0,1.0,0.0,1
alien.insurrection.tech,30.0,23.0,0.0,11
alleysmith.family,10.0,7.0,0.0,4
allpeep.social,4.0,29.0,1.0,30
alpines.club,19.0,32.0,1.0,10
alteholz.social,1087.0,56.0,1.0,5
amarinha.gal,4338.0,189.0,11.0,17
amok.recoil.org,21.0,30.0,0.0,7
androiddev.social,4095.0,3913.0,31.0,3144
anml.io,7.0,14.0,0.0,5
anothersuper.social,20.0,34.0,1.0,11
antisocial.ly,108.0,12.0,0.0,5
apobangpo.space,8971.0,544.0,9.0,1221
appellate.social,56.0,30.0,0.0,85
arabi.gay,334.0,85.0,17.0,44
arrifana.org,0.0,5.0,0.0,16
artoot.xyz,112.0,12.0,0.0,376
artsandculture.social,14.0,65.0,4.0,26
arxiv.social,5.0,10.0,1.0,2
astrodon.social,13418.0,3560.0,44.0,2604
attractive.space,1550.0,61.0,0.0,49
auralis.space,0.0,14.0,0.0,3
avalatte.kr,0.0,383.0,0.0,35
awau.social,31.0,31.0,0.0,11
babyfurs.social,403.0,256.0,5.0,177
bagarrosphere.fr,440.0,240.0,5.0,230
bardown.space,153.0,35.0,0.0,29
barelysocial.org,56.0,11.0,0.0,1
bark.lgbt,30556.0,3815.0,180.0,5579
barrowof.gay,447.0,12.0,0.0,1
bcast.guru,18.0,11.0,0.0,4
bearologics.social,33.0,13.0,0.0,8
bellow.el.drit.ch,26.0,23.0,0.0,3
beo.social,2.0,22.0,0.0,4
bertshouse.social,3485.0,22.0,0.0,3
besties.com,0.0,7.0,0.0,26
betterconversations.online,0.0,4.0,0.0,7
betweenthelions.link,2658.0,34.0,0.0,3
beyondgender.social,0.0,16.0,0.0,8
big.trash.haus,1.0,8.0,0.0,1
bigballchunkyverse.online,0.0,0.0,0.0,24
bikeshed.vibber.net,2493.0,23.0,0.0,2
bildung.social,46583.0,7312.0,54.0,3006
birb.casa,12.0,18.0,0.0,8
birdbutt.com,3543.0,261.0,2.0,44
blacktwitter.io,1427.0,450.0,3.0,1655
blahaj.tech,0.0,1.0,0.0,5
blasius.club,18.0,22.0,0.0,6
blogi.social,355.0,90.0,2.0,10
blue.misteli.in.net,4.0,54.0,2.0,9
bluenoser.me,680.0,27.0,0.0,7
bobbinsrobots.com,910.0,11.0,0.0,1
body.social,3553.0,803.0,15.0,405
bolha.us,15367.0,2196.0,52.0,1874
bonn.social,22405.0,4045.0,51.0,1401
bookish.community,114.0,23.0,0.0,18
bookstodon.com,18392.0,1873.0,289.0,742
boteden.com,8629.0,59.0,0.0,9
bots.automatica.dev,3562.0,97.0,0.0,14
bots.defencegeeks.net,23470.0,232.0,0.0,38
bouma.social,17.0,11.0,0.0,1
bremen.digital,2.0,4.0,0.0,2
brontosin.space,745.0,58.0,0.0,18
brunetti.social,0.0,0.0,0.0,2
bunny.social,108.0,23.0,0.0,3
bynight.cafe,34.0,49.0,0.0,11
bytearray.eu,88.0,11.0,0.0,2
bytepark.social,15.0,6.0,0.0,8
bytetower.social,432.0,118.0,0.0,92
c.im,236125.0,20231.0,630.0,66943
c64.social,1455.0,13.0,0.0,8
caleida.com,6.0,9.0,1.0,25
