id,name,english,n_rules,instance_type,rules_list,Prescriptive,Restrictive,Behavior/Content/Format Allowed,Consequences/Moderation/Enforcement,Advertising & Commercialization,Copyright/ Piracy,Doxxing/ Personal Info,Harassment,Hate Speech,Images,Links & Outside Content,Low-Quality Content,NSFW,Off-topic/topic specific,Personal Army/Brigading/Dogpiling,Personality,Politics,Reddiquette/ Sitewide,Reposting/Crossposting,Spam,Spoilers,Trolling,Incitement of Violence,Mis/Disinformation/Conspiracy,Illegal Content,No CSAM,Content Warnings,Gore/Violence,Animal abuse,Impersonation,Server Interference,Other form of oppresive -ism,Automated tools,English Language Only,Moderator power,Age Restriction,Privacy Norms,NFT/Crypto,AI generated content,Codes of Conduct,Defederation,Sign Up
637b309ad94dca7f11e7b8ac,mstdn.social,Y,7,General,Sexually explicit or violent media must be marked as sensitive when posting.,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637b309ad94dca7f11e7b8ac,mstdn.social,Y,7,General,No spam or advertising.,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
637b309ad94dca7f11e7b8ac,mstdn.social,Y,7,General,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism.",,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
637b309ad94dca7f11e7b8ac,mstdn.social,Y,7,General,No incitement of violence or promotion of violent ideologies.,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
637b309ad94dca7f11e7b8ac,mstdn.social,Y,7,General,"No harassment, dogpiling or doxxing of other users.",,1,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
637b309ad94dca7f11e7b8ac,mstdn.social,Y,7,General,No illegal content.,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
637b309ad94dca7f11e7b8ac,mstdn.social,Y,7,General,No spreading of fake news or misinformation,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
6365b5f780bb3f03b435a273,mastodonapp.uk,Y,8,Regional,Sexually explicit or violent media must be marked as sensitive when posting,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
6365b5f780bb3f03b435a273,mastodonapp.uk,Y,8,Regional,"Be respectful. Racism, sexism, homophobia, transphobia, xenophobia, and other forms of hate and discrimination are not welcome. Your behaviour elsewhere may also be considered if brought to our attention. ",1,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
6365b5f780bb3f03b435a273,mastodonapp.uk,Y,8,Regional,No incitement of violence or promotion of discriminatory or violent ideologies,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
