GPT category single,GPT category set,Count
Activism,{'Hate Speech'},98
Activism,{'Mis/Disinformation/Conspiracy'},35
Activism,{'Illegal Content'},24
Activism,{'Harassment'},18
Activism,"{'Harassment', 'Doxxing/ Personal Info'}",16
Activism,{'Incitement of Violence'},16
Activism,"{'Advertising & Commercialization', 'Spam'}",12
Activism,"{'NSFW', 'Images'}",12
Activism,"{'Content Warnings', 'Images'}",9
Activism,"{'Hate Speech', 'Harassment'}",9
Activism,"{'NSFW', 'Content Warnings'}",9
Activism,{'Off-topic/topic specific'},9
Activism,"{'Hate Speech', 'Incitement of Violence'}",8
Activism,{'Content Warnings'},7
Activism,{'NSFW'},6
Activism,{'Spam'},6
Activism,{'Advertising & Commercialization'},5
Activism,{'Doxxing/ Personal Info'},5
Activism,"{'Illegal Content', 'Hate Speech'}",5
Activism,"{'Illegal Content', 'NSFW'}",5
Activism,"{'Dogpiling', 'Harassment', 'Doxxing/ Personal Info'}",4
Activism,"{'Harassment', 'Trolling'}",4
Activism,"{'Hate Speech', 'Off-topic/topic specific'}",4
Activism,{'Images'},4
Activism,"{'Mis/Disinformation/Conspiracy', 'Hate Speech'}",4
Activism,{'Copyright/ Piracy'},3
Activism,"{'Hate Speech', 'Harassment', 'Doxxing/ Personal Info'}",3
Activism,"{'Links & Outside Content', 'NSFW'}",3
Activism,{'Links & Outside Content'},3
Activism,"{'Not Applicable', 'Hate Speech'}",3
Activism,"{'Advertising & Commercialization', 'Links & Outside Content'}",2
Activism,{'Automated tools'},2
Activism,"{'Harassment', 'Trolling', 'Spam'}",2
Activism,"{'Illegal Content', 'Mis/Disinformation/Conspiracy', 'Hate Speech'}",2
Activism,{'Impersonation'},2
Activism,"{'Links & Outside Content', 'Not Applicable'}",2
Activism,"{'Links & Outside Content', 'Off-topic/topic specific'}",2
Activism,"{'NSFW', 'Content Warnings', 'Images'}",2
Activism,"{'Not Applicable', 'Automated tools'}",2
Activism,"{'Advertising & Commercialization', 'Not Applicable'}",1
Activism,"{'Automated tools', 'Spam'}",1
Activism,"{'Dogpiling', 'Harassment'}",1
Activism,"{'Doxxing/ Personal Info', 'Images'}",1
Activism,"{'Doxxing/ Personal Info', 'NSFW', 'Hate Speech', 'Harassment', 'Incitement of Violence'}",1
Activism,"{'Harassment', 'Automated tools'}",1
Activism,"{'Harassment', 'Doxxing/ Personal Info', 'Impersonation'}",1
Activism,"{'Harassment', 'Spam'}",1
Activism,"{'Hate Speech', 'Content Warnings'}",1
Activism,"{'Hate Speech', 'Images'}",1
Activism,"{'Illegal Content', 'Doxxing/ Personal Info'}",1
Activism,"{'Illegal Content', 'Harassment', 'Doxxing/ Personal Info'}",1
Activism,"{'Illegal Content', 'Links & Outside Content'}",1
Activism,"{'Illegal Content', 'Mis/Disinformation/Conspiracy'}",1
Activism,"{'Illegal Content', 'NSFW', 'Hate Speech', 'Incitement of Violence'}",1
Activism,"{'Illegal Content', 'Spam'}",1
Activism,"{'Images', 'Copyright/ Piracy'}",1
Activism,"{'Images', 'Spam'}",1
Activism,"{'Links & Outside Content', 'Content Warnings', 'Illegal Content'}",1
Activism,"{'Links & Outside Content', 'Copyright/ Piracy'}",1
Activism,"{'Links & Outside Content', 'Illegal Content', 'Incitement of Violence'}",1
Activism,"{'Links & Outside Content', 'Off-topic/topic specific', 'Reposting/Crossposting'}",1
Activism,"{'Mis/Disinformation/Conspiracy', 'Hate Speech', 'Harassment', 'Spam'}",1
Activism,"{'Not Applicable', 'Content Warnings'}",1
Activism,"{'Not Applicable', 'Doxxing/ Personal Info'}",1
Activism,"{'Not Applicable', 'Impersonation'}",1
Activism,"{'Not Applicable', 'Mis/Disinformation/Conspiracy'}",1
Activism,"{'Not Applicable', 'NSFW'}",1
Activism,"{'Off-topic/topic specific', 'Spam'}",1
Activism,"{'Reposting/Crossposting', 'Copyright/ Piracy'}",1
Activism,"{'Spam', 'Automated tools'}",1
Art & Culture,{'Hate Speech'},67
Art & Culture,{'Illegal Content'},31
Art & Culture,{'Mis/Disinformation/Conspiracy'},24
Art & Culture,"{'Advertising & Commercialization', 'Spam'}",21
Art & Culture,{'Incitement of Violence'},21
Art & Culture,{'Harassment'},19
Art & Culture,"{'NSFW', 'Content Warnings'}",19
Art & Culture,"{'Hate Speech', 'Harassment'}",18
Art & Culture,{'Copyright/ Piracy'},17
Art & Culture,"{'Harassment', 'Doxxing/ Personal Info'}",17
Art & Culture,"{'Content Warnings', 'Images'}",15
Art & Culture,{'Doxxing/ Personal Info'},13
Art & Culture,{'Content Warnings'},12
Art & Culture,"{'Illegal Content', 'Hate Speech'}",12
Art & Culture,"{'Harassment', 'Trolling'}",11
Art & Culture,{'NSFW'},10
Art & Culture,{'Spam'},10
Art & Culture,{'Advertising & Commercialization'},9
Art & Culture,{'Automated tools'},9
Art & Culture,"{'NSFW', 'Content Warnings', 'Images'}",9
Art & Culture,"{'NSFW', 'Images'}",9
Art & Culture,{'Impersonation'},8
Art & Culture,"{'Harassment', 'Incitement of Violence'}",7
Art & Culture,"{'Illegal Content', 'NSFW'}",7
Art & Culture,"{'Not Applicable', 'Automated tools'}",6
Art & Culture,"{'Hate Speech', 'Incitement of Violence'}",5
Art & Culture,"{'Dogpiling', 'Harassment', 'Doxxing/ Personal Info'}",4
Art & Culture,"{'Illegal Content', 'Copyright/ Piracy'}",4
Art & Culture,{'Images'},4
Art & Culture,{'Links & Outside Content'},4
Art & Culture,{'Off-topic/topic specific'},4
Art & Culture,"{'Spam', 'Automated tools'}",4
Art & Culture,"{'Advertising & Commercialization', 'Spam', 'Automated tools'}",3
Art & Culture,"{'Not Applicable', 'Harassment'}",3
Art & Culture,"{'Harassment', 'Impersonation'}",2
Art & Culture,"{'Hate Speech', 'Harassment', 'Doxxing/ Personal Info'}",2
Art & Culture,"{'Hate Speech', 'Harassment', 'Incitement of Violence'}",2
Art & Culture,"{'Hate Speech', 'Harassment', 'Trolling'}",2
Art & Culture,"{'Links & Outside Content', 'Illegal Content'}",2
Art & Culture,"{'Mis/Disinformation/Conspiracy', 'Hate Speech'}",2
Art & Culture,"{'Not Applicable', 'Images'}",2
