,Instance Name,User Count Bin,Topic Counts,Broad Category Counts,Entropy
0,0lb.be,$10^{1}$ to $10^{2}$ ,{'Copyright/ Piracy': 1},"{'Action': 0, 'Behavior': 0, 'Content': 0, 'Distribution': 1}",-0.0
1,0x3c.pl,$10^{2}$ to $10^{3}$,"{'Content Warnings': 1, 'Hate Speech': 1}","{'Action': 0, 'Behavior': 0, 'Content': 2, 'Distribution': 0}",-0.0
2,100terres.social,$10^{1}$ to $10^{2}$ ,"{'Hate Speech': 1, 'Incitement of Violence': 1, 'Harassment': 1, 'Doxxing/ Personal Info': 1, 'Mis/Disinformation/Conspiracy': 1, 'Illegal Content': 1, 'Content Warnings': 1, 'Images': 1, 'Automated tools': 1}","{'Action': 1, 'Behavior': 2, 'Content': 6, 'Distribution': 0}",1.224394445405986
3,1234.as,$10^{4}$ to $10^{5}$,"{'Illegal Content': 3, 'Copyright/ Piracy': 1, 'Mis/Disinformation/Conspiracy': 2, 'Incitement of Violence': 1, 'Harassment': 1, 'Not Applicable': 1, 'NSFW': 1, 'Images': 1, 'Advertising & Commercialization': 1, 'Spam': 1}","{'Action': 0, 'Behavior': 1, 'Content': 8, 'Distribution': 3}",1.188721875540867
4,15-15-15.social,$10^{2}$ to $10^{3}$,"{'Harassment': 2, 'Mis/Disinformation/Conspiracy': 1, 'Illegal Content': 1, 'NSFW': 1, 'Images': 1, 'Trolling': 1}","{'Action': 0, 'Behavior': 3, 'Content': 4, 'Distribution': 0}",0.9852281360342515
5,1689.social,$10^{2}$ to $10^{3}$,"{'Hate Speech': 1, 'Illegal Content': 1, 'Images': 1}","{'Action': 0, 'Behavior': 0, 'Content': 3, 'Distribution': 0}",-0.0
6,19marbles.org,$10^{2}$ to $10^{3}$,"{'Content Warnings': 2, 'Incitement of Violence': 1, 'Harassment': 1, 'Dogpiling': 1, 'Doxxing/ Personal Info': 1}","{'Action': 0, 'Behavior': 3, 'Content': 3, 'Distribution': 0}",1.0
7,1uca.com,$10^{2}$ to $10^{3}$,"{'Harassment': 1, 'Dogpiling': 1, 'Spam': 1, 'Illegal Content': 1, 'Incitement of Violence': 1, 'NSFW': 1, 'Content Warnings': 1, 'Images': 1}","{'Action': 0, 'Behavior': 2, 'Content': 5, 'Distribution': 1}",1.2987949406953985
8,3dart.social,$10^{2}$ to $10^{3}$,"{'Copyright/ Piracy': 1, 'NSFW': 1, 'Content Warnings': 1, 'Harassment': 1, 'Trolling': 1}","{'Action': 0, 'Behavior': 2, 'Content': 2, 'Distribution': 1}",1.5219280948873621
9,3dp.chat,$10^{3}$ to $10^{4}$,"{'Off-topic/topic specific': 1, 'Hate Speech': 1, 'Mis/Disinformation/Conspiracy': 1}","{'Action': 0, 'Behavior': 0, 'Content': 3, 'Distribution': 0}",-0.0
10,3rdstone.cc,$10^{1}$ to $10^{2}$ ,"{'Illegal Content': 1, 'Hate Speech': 1, 'Trolling': 1, 'Harassment': 1, 'Advertising & Commercialization': 1, 'Spam': 1}","{'Action': 0, 'Behavior': 2, 'Content': 2, 'Distribution': 2}",1.584962500721156
11,3rdwall.net,$10^{1}$ to $10^{2}$ ,"{'Illegal Content': 1, 'Incitement of Violence': 1, 'Hate Speech': 7}","{'Action': 0, 'Behavior': 0, 'Content': 9, 'Distribution': 0}",-0.0
12,3zi.ru,$10^{2}$ to $10^{3}$,"{'NSFW': 2, 'Spam': 1, 'Content Warnings': 1, 'Illegal Content': 1}","{'Action': 0, 'Behavior': 0, 'Content': 4, 'Distribution': 1}",0.7219280948873623
13,41020.social,$10^{2}$ to $10^{3}$,"{'NSFW': 1, 'Images': 2, 'Hate Speech': 1, 'Incitement of Violence': 1, 'Impersonation': 1, 'Illegal Content': 1, 'Mis/Disinformation/Conspiracy': 1, 'Spam': 1, 'Reposting/Crossposting': 1}","{'Action': 0, 'Behavior': 1, 'Content': 7, 'Distribution': 2}",1.1567796494470395
14,438punk.house,$10^{3}$ to $10^{4}$,"{'Hate Speech': 1, 'Harassment': 3, 'Trolling': 3, 'Illegal Content': 1, 'Images': 2, 'NSFW': 1, 'Content Warnings': 1, 'Links & Outside Content': 1}","{'Action': 0, 'Behavior': 6, 'Content': 7, 'Distribution': 0}",0.9957274520849255
15,4bear.com,$10^{4}$ to $10^{5}$,"{'NSFW': 3, 'Content Warnings': 1, 'Images': 3, 'Off-topic/topic specific': 1, 'Hate Speech': 2, 'Advertising & Commercialization': 1, 'Spam': 1, 'Copyright/ Piracy': 1, 'Illegal Content': 1}","{'Action': 0, 'Behavior': 0, 'Content': 11, 'Distribution': 3}",0.74959525725948
16,4d2.social,$10^{1}$ to $10^{2}$ ,"{'Copyright/ Piracy': 1, 'Hate Speech': 1, 'Doxxing/ Personal Info': 1, 'Illegal Content': 3, 'NSFW': 2}","{'Action': 0, 'Behavior': 1, 'Content': 6, 'Distribution': 1}",1.061278124459133
17,500.social,$10^{2}$ to $10^{3}$,"{'Harassment': 1, 'Illegal Content': 1, 'NSFW': 1, 'Content Warnings': 1, 'Off-topic/topic specific': 1}","{'Action': 0, 'Behavior': 1, 'Content': 4, 'Distribution': 0}",0.7219280948873623
18,503junk.house,$10^{2}$ to $10^{3}$,"{'Hate Speech': 2, 'Mis/Disinformation/Conspiracy': 2, 'Harassment': 1, 'Advertising & Commercialization': 1, 'Spam': 1, 'NSFW': 1, 'Images': 1}","{'Action': 0, 'Behavior': 1, 'Content': 6, 'Distribution': 2}",1.224394445405986
19,6510.nu,$10^{1}$ to $10^{2}$ ,{'Hate Speech': 1},"{'Action': 0, 'Behavior': 0, 'Content': 1, 'Distribution': 0}",-0.0
20,73-110.pl,$10^{2}$ to $10^{3}$,"{'Incitement of Violence': 1, 'Hate Speech': 1, 'Harassment': 1, 'Mis/Disinformation/Conspiracy': 1, 'Advertising & Commercialization': 1, 'Spam': 1, 'NSFW': 1, 'Content Warnings': 1, 'Images': 2}","{'Action': 0, 'Behavior': 1, 'Content': 7, 'Distribution': 2}",1.1567796494470395
21,8bit.red,$10^{1}$ to $10^{2}$ ,"{'Hate Speech': 1, 'NSFW': 1, 'Illegal Content': 1, 'Incitement of Violence': 1, 'Harassment': 1, 'Mis/Disinformation/Conspiracy': 1}","{'Action': 0, 'Behavior': 1, 'Content': 5, 'Distribution': 0}",0.6500224216483541
22,8bit.social,$10^{1}$ to $10^{2}$ ,"{'Hate Speech': 1, 'Off-topic/topic specific': 1, 'Harassment': 1}","{'Action': 0, 'Behavior': 1, 'Content': 2, 'Distribution': 0}",0.9182958340544896
23,8bitar.io,$10^{1}$ to $10^{2}$ ,"{'Not Applicable': 1, 'Links & Outside Content': 1}","{'Action': 0, 'Behavior': 0, 'Content': 1, 'Distribution': 0}",-0.0
24,a11y.info,$10^{2}$ to $10^{3}$,"{'Hate Speech': 2, 'Incitement of Violence': 1, 'Harassment': 2, 'Doxxing/ Personal Info': 1, 'Mis/Disinformation/Conspiracy': 1, 'Illegal Content': 1, 'Spam': 1}","{'Action': 0, 'Behavior': 3, 'Content': 5, 'Distribution': 1}",1.3516441151533922
