,id,content,created_at,mentions,tags,favourites_count,replies_count
7,111258737640346284,"<p>RT by @Khani2Mina: Berlin: Wohnhäuser, in denen Jüdinnen und Juden wohnen, wurden markiert, eine Synagoge angegriffen und jetzt muss auch noch die @IbnRushdGoethe schließen wegen konkreten Bedrohungen seitens Islamisten. <a href=""https://www.t-online.de/nachrichten/deutschland/innenpolitik/id_100260326/anschlag-in-berlin-islamisten-hatten-seyran-ates-moschee-im-visier.html?fbclid=IwAR2ztE_Iy-q5exHbVKgXqdXQb1W3sQNCe8hVw3YMiNjP1nqWZ_FOqxfbESc_aem_AZvMhXMR-7oqEPIVzzQuhMnIvOgN6URR2_E6i2VahBmb_STHZpNtuvEGF91"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">t-online.de/nachrichten/deutsc</span><span class=""invisible"">hland/innenpolitik/id_100260326/anschlag-in-berlin-islamisten-hatten-seyran-ates-moschee-im-visier.html?fbclid=IwAR2ztE_Iy-q5exHbVKgXqdXQb1W3sQNCe8hVw3YMiNjP1nqWZ_FOqxfbESc_aem_AZvMhXMR-7oqEPIVzzQuhMnIvOgN6URR2_E6i2VahBmb_STHZpNtuvEGF91</span></a></p>",2023-10-19 00:00:07+00:00,[],[],0,0
8,111258737713970020,"<p>RT by @Khani2Mina: Alles das, was <span class=""h-card"" translate=""no""><a href=""https://mastodon.social/@khesraubehroz"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>khesraubehroz</span></a></span> bei <a href=""https://mastodon.social/tags/Maischberger"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Maischberger</span></a> sagt!🔥  </p><p> Quelle: <a href=""https://nitter.x86-64-unknown-linux-gnu.zip/NurderK/status/1714761722349674675#m"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">nitter.x86-64-unknown-linux-gn</span><span class=""invisible"">u.zip/NurderK/status/1714761722349674675#m</span></a></p>",2023-10-19 00:00:08+00:00,"[{'id': 109365765149439899, 'username': 'khesraubehroz', 'url': 'https://mastodon.social/@khesraubehroz', 'acct': 'khesraubehroz@mastodon.social'}]","[{'name': 'maischberger', 'url': 'https://ruhr.social/tags/maischberger'}]",0,0
9,111258737732985597,"<p>RT by @Khani2Mina: Happy Birthday <a href=""https://mastodon.social/tags/VidaRabbani"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>VidaRabbani</span></a> ♥️<br>Das Evin Gefängnis ist kein Ort für eine Journalistin. <a href=""https://mastodon.social/tags/JournalismIsNotACrime"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>JournalismIsNotACrime</span></a>  </p><p> Quelle: <a href=""https://nitter.x86-64-unknown-linux-gnu.zip/mariam_claren/status/1714764495195705757#m"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">nitter.x86-64-unknown-linux-gn</span><span class=""invisible"">u.zip/mariam_claren/status/1714764495195705757#m</span></a></p>",2023-10-19 00:00:08+00:00,[],"[{'name': 'vidarabbani', 'url': 'https://ruhr.social/tags/vidarabbani'}, {'name': 'journalismisnotacrime', 'url': 'https://ruhr.social/tags/journalismisnotacrime'}]",0,0
14,111258737879854494,"<p>RT by @Khani2Mina: این دخترایی که هر روز برای آزادی‌ و بدست آوردن کرامت انسانی‌شون با دیکتاتوری علی خامنه‌ای می‌جنگن که بازداشت میشن یا به کُما میرن، قهرمان‌های ما هستن خواهرای ما هستن.<br>بپرسید چه بلایی سر <a href=""https://mastodon.social/tags/%D8%A2%D8%B1%D9%85%DB%8C%D8%AA%D8%A7_%DA%AF%D8%B1%D8%A7%D9%88%D9%86%D8%AF"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>آرمیتا_گراوند</span></a> آوردند؟!<br>بپرسید <a href=""https://mastodon.social/tags/%D8%AF%D8%AE%D8%AA%D8%B1_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>دختر_تبریز</span></a> کجاست؟!  </p><p> Quelle: <a href=""https://nitter.x86-64-unknown-linux-gnu.zip/vidarwarrior/status/1714765999134617733#m"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">nitter.x86-64-unknown-linux-gn</span><span class=""invisible"">u.zip/vidarwarrior/status/1714765999134617733#m</span></a></p>",2023-10-19 00:00:09+00:00,[],"[{'name': 'آرمیتا_گراوند', 'url': 'https://ruhr.social/tags/%D8%A2%D8%B1%D9%85%DB%8C%D8%AA%D8%A7_%DA%AF%D8%B1%D8%A7%D9%88%D9%86%D8%AF'}, {'name': 'دختر_تبریز', 'url': 'https://ruhr.social/tags/%D8%AF%D8%AE%D8%AA%D8%B1_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2'}]",0,0
15,111258737882328681,"<p>RT by @Khani2Mina: <a href=""https://mastodon.social/tags/%D8%A2%D8%B1%D9%85%DB%8C%D8%AA%D8%A7_%DA%AF%D8%B1%D8%A7%D9%88%D9%86%D8%AF"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>آرمیتا_گراوند</span></a> و حالا <a href=""https://mastodon.social/tags/%D8%AF%D8%AE%D8%AA%D8%B1_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>دختر_تبریز</span></a> که حتی اسمش را نمیدانیم.</p><p>جمهوری اسلامی دارد در سایه کثافت منطقه‌ای که به بار آورده به زنان حمله میکند. یادمان باشد که حجاب در ایران در هنگامه جنگ ایران و عراق اجباری شد و نه همان لحظه که خمینی فرمان داد. زنان و کوییرها ۴۴ سالست مقاومت میکنند.  </p><p> Quelle: <a href=""https://nitter.x86-64-unknown-linux-gnu.zip/Khani2Mina/status/1714767656669037044#m"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">nitter.x86-64-unknown-linux-gn</span><span class=""invisible"">u.zip/Khani2Mina/status/1714767656669037044#m</span></a></p>",2023-10-19 00:00:11+00:00,[],"[{'name': 'آرمیتا_گراوند', 'url': 'https://ruhr.social/tags/%D8%A2%D8%B1%D9%85%DB%8C%D8%AA%D8%A7_%DA%AF%D8%B1%D8%A7%D9%88%D9%86%D8%AF'}, {'name': 'دختر_تبریز', 'url': 'https://ruhr.social/tags/%D8%AF%D8%AE%D8%AA%D8%B1_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2'}]",0,0
17,111258737925675427,"<p>RT by @Khani2Mina: بطور یقین هیچکس بجز خود ما مسئول نجاتمان نیست.<br><a href=""https://mastodon.social/tags/%D8%A2%D8%B1%D9%85%DB%8C%D8%AA%D8%A7_%DA%AF%D8%B1%D8%A7%D9%88%D9%86%D8%AF"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>آرمیتا_گراوند</span></a> و <a href=""https://mastodon.social/tags/%D8%AF%D8%AE%D8%AA%D8%B1_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>دختر_تبریز</span></a> صف اول ایستادند درحالی که بسیاری از مدعیان مبارزه اخبار فلسطین و اسرائیل را تعقیب می‌کردند.<br>رمز پیروزی در تداوم مبارزه است نه دعای جنگ، کسی برای ما آزادی نمی آورد، جز خودمان  </p><p> Quelle: <a href=""https://nitter.x86-64-unknown-linux-gnu.zip/FreedomBecon/status/1714769258683498939#m"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">nitter.x86-64-unknown-linux-gn</span><span class=""invisible"">u.zip/FreedomBecon/status/1714769258683498939#m</span></a></p>",2023-10-19 00:00:11+00:00,[],"[{'name': 'آرمیتا_گراوند', 'url': 'https://ruhr.social/tags/%D8%A2%D8%B1%D9%85%DB%8C%D8%AA%D8%A7_%DA%AF%D8%B1%D8%A7%D9%88%D9%86%D8%AF'}, {'name': 'دختر_تبریز', 'url': 'https://ruhr.social/tags/%D8%AF%D8%AE%D8%AA%D8%B1_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2'}]",0,0
18,111258737953827848,"<p>RT by @Khani2Mina: اینجا سرزمین اشغالیه ایرانه جایی که برای کمترین حقمون ممکنه کشته بشیم!!<br><a href=""https://mastodon.social/tags/%D8%A2%D8%B1%D9%85%DB%8C%D8%AA%D8%A7_%DA%AF%D8%B1%D8%A7%D9%88%D9%86%D8%AF"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>آرمیتا_گراوند</span></a> کجاست چرا خبری ازش نیست؟<br><a href=""https://mastodon.social/tags/%D8%AF%D8%AE%D8%AA%D8%B1_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>دختر_تبریز</span></a> کجاست چه بلایی سرش آوردید؟<br><a href=""https://mastodon.social/tags/%D9%85%D9%87%D8%B3%D8%A7_%D8%A7%D9%85%D9%8A%D9%86%DB%8C"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>مهسا_امينی</span></a>  </p><p> Quelle: <a href=""https://nitter.x86-64-unknown-linux-gnu.zip/light_on_darks/status/1714769994792186121#m"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">nitter.x86-64-unknown-linux-gn</span><span class=""invisible"">u.zip/light_on_darks/status/1714769994792186121#m</span></a></p>",2023-10-19 00:00:12+00:00,[],"[{'name': 'آرمیتا_گراوند', 'url': 'https://ruhr.social/tags/%D8%A2%D8%B1%D9%85%DB%8C%D8%AA%D8%A7_%DA%AF%D8%B1%D8%A7%D9%88%D9%86%D8%AF'}, {'name': 'دختر_تبریز', 'url': 'https://ruhr.social/tags/%D8%AF%D8%AE%D8%AA%D8%B1_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2'}, {'name': 'مهسا_امينی', 'url': 'https://ruhr.social/tags/%D9%85%D9%87%D8%B3%D8%A7_%D8%A7%D9%85%D9%8A%D9%86%DB%8C'}]",0,0
20,111258738039056647,"<p>RT by @Khani2Mina: شجاعت دختران این سرزمین ستودنیست.<br>با وجود ضحاک هر روز جان تک تک دخترانم ن در خطر است.<br>چرا از وضعیت <a href=""https://mastodon.social/tags/%D8%A2%D8%B1%D9%85%DB%8C%D8%AA%D8%A7_%DA%AF%D8%B1%D8%A7%D9%88%D9%86%D8%AF"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>آرمیتا_گراوند</span></a> هیچ خبری نیست؟<br><a href=""https://mastodon.social/tags/%D8%AF%D8%AE%D8%AA%D8%B1_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>دختر_تبریز</span></a> کجاست؟ اسمش چیه؟<br><a href=""https://mastodon.social/tags/%DA%98%D9%86_%DA%98%DB%8C%D8%A7%D9%86_%D8%A6%D8%A7%D8%B2%D8%A7%D8%AF%DB%8C"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>ژن_ژیان_ئازادی</span></a>  </p><p> Quelle: <a href=""https://nitter.x86-64-unknown-linux-gnu.zip/goldilocksir2/status/1714767363973792144#m"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">nitter.x86-64-unknown-linux-gn</span><span class=""invisible"">u.zip/goldilocksir2/status/1714767363973792144#m</span></a></p>",2023-10-19 00:00:10+00:00,[],"[{'name': 'آرمیتا_گراوند', 'url': 'https://ruhr.social/tags/%D8%A2%D8%B1%D9%85%DB%8C%D8%AA%D8%A7_%DA%AF%D8%B1%D8%A7%D9%88%D9%86%D8%AF'}, {'name': 'دختر_تبریز', 'url': 'https://ruhr.social/tags/%D8%AF%D8%AE%D8%AA%D8%B1_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2'}, {'name': 'ژن_ژیان_ئازادی', 'url': 'https://ruhr.social/tags/%DA%98%D9%86_%DA%98%DB%8C%D8%A7%D9%86_%D8%A6%D8%A7%D8%B2%D8%A7%D8%AF%DB%8C'}]",0,0
21,111258738049434863,"<p><a href=""https://mastodon.social/tags/%D8%A2%D8%B1%D9%85%DB%8C%D8%AA%D8%A7_%DA%AF%D8%B1%D8%A7%D9%88%D9%86%D8%AF"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>آرمیتا_گراوند</span></a> را به کما فرستاند و ما را در بی خبری نگاه داشته‌اند.</p><p><a href=""https://mastodon.social/tags/%D8%AF%D8%AE%D8%AA%D8%B1_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>دختر_تبریز</span></a> را بی‌نام نگه داشته‌اند و از او اخبار نگران کننده به گوش ما می‌رسد.</p><p>جمهوری اسلامی سیاست جنگی منطقه‌ای را پیش می‌برد و بر زنان مبارز فشار می‌آورد.  </p><p> Quelle: <a href=""https://nitter.x86-64-unknown-linux-gnu.zip/Khani2Mina/status/1714771327247085881#m"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">nitter.x86-64-unknown-linux-gn</span><span class=""invisible"">u.zip/Khani2Mina/status/1714771327247085881#m</span></a></p>",2023-10-19 00:00:12+00:00,[],"[{'name': 'آرمیتا_گراوند', 'url': 'https://ruhr.social/tags/%D8%A2%D8%B1%D9%85%DB%8C%D8%AA%D8%A7_%DA%AF%D8%B1%D8%A7%D9%88%D9%86%D8%AF'}, {'name': 'دختر_تبریز', 'url': 'https://ruhr.social/tags/%D8%AF%D8%AE%D8%AA%D8%B1_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2'}]",0,0
27,111258738346326903,"<p>John Varley the Younger, A bustling street before the mosque of Emir Mindar, Cairo (1880)</p><p><a href=""https://acg.mn/tags/landscape"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>landscape</span></a> <a href=""https://artvee.com/dl/a-bustling-street-before-the-mosque-of-emir-mindar-cairo/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">artvee.com/dl/a-bustling-stree</span><span class=""invisible"">t-before-the-mosque-of-emir-mindar-cairo/</span></a></p>",2023-10-19 00:00:11+00:00,[],"[{'name': 'landscape', 'url': 'https://ruhr.social/tags/landscape'}]",0,0
