GPT category single,Rule topic single cleaned,Count
Activism,Hate Speech,141
Activism,Harassment,63
Activism,Illegal Content,44
Activism,Mis/Disinformation/Conspiracy,44
Activism,NSFW,40
Activism,Doxxing/ Personal Info,34
Activism,Images,31
Activism,Content Warnings,30
Activism,Incitement of Violence,27
Activism,Spam,27
Activism,Advertising & Commercialization,20
Activism,Links & Outside Content,17
Activism,Off-topic/topic specific,17
Activism,Not Applicable,13
Activism,Automated tools,7
Activism,Copyright/ Piracy,6
Activism,Trolling,6
Activism,Dogpiling,5
Activism,Impersonation,4
Activism,Reposting/Crossposting,2
Art & Culture,Hate Speech,118
Art & Culture,Harassment,104
Art & Culture,Illegal Content,69
Art & Culture,Content Warnings,61
Art & Culture,NSFW,61
Art & Culture,Spam,46
Art & Culture,Images,44
Art & Culture,Doxxing/ Personal Info,43
Art & Culture,Incitement of Violence,38
Art & Culture,Advertising & Commercialization,37
Art & Culture,Mis/Disinformation/Conspiracy,32
Art & Culture,Copyright/ Piracy,26
Art & Culture,Automated tools,25
Art & Culture,Trolling,20
Art & Culture,Not Applicable,15
Art & Culture,Impersonation,12
Art & Culture,Links & Outside Content,11
Art & Culture,Off-topic/topic specific,11
Art & Culture,Dogpiling,10
Art & Culture,Reposting/Crossposting,5
Bots,Hate Speech,12
Bots,Harassment,11
Bots,Automated tools,8
Bots,Spam,8
Bots,Images,6
Bots,NSFW,6
Bots,Content Warnings,4
Bots,Doxxing/ Personal Info,4
Bots,Illegal Content,4
Bots,Advertising & Commercialization,3
Bots,Impersonation,3
Bots,Mis/Disinformation/Conspiracy,3
Bots,Incitement of Violence,2
Bots,Dogpiling,1
Bots,Not Applicable,1
Bots,Off-topic/topic specific,1
Bots,Reposting/Crossposting,1
Bots,Trolling,1
Community,Advertising & Commercialization,1
Community,Automated tools,1
Community,Content Warnings,1
Community,Doxxing/ Personal Info,1
Community,Harassment,1
Community,Hate Speech,1
Community,Links & Outside Content,1
Community,Not Applicable,1
