instance,rules_preelon,rules_postelon2023,rules_postelon2024,changed_preelon_postelon2023,changed_postelon2023_postelon2024
184.im,[],[],,False,True
social.oberhauser.space,"[{""id"": ""2"", ""text"": ""Hate speech and acts of discrimination such as racism, sexism, homophobia, transphobia, xenophobia, or casteism will not be tolerated.""}, {""id"": ""3"", ""text"": ""Do not intentionally share false or misleading information.""}, {""id"": ""4"", ""text"": ""Do not send unsolicited DMs.""}, {""id"": ""5"", ""text"": ""Sexually explicit or violent media must be marked as sensitive.""}, {""id"": ""6"", ""text"": ""Do not share posts containing incitement of violence or promotion of violent ideologies.""}]",,,True,True
appellate.social,"[{""id"": ""5"", ""text"": ""To preserve a friendly space, and to preserve our links with other federated servers, people here will be expected to follow basic rules. Those include:""}, {""id"": ""6"", ""text"": ""No harassment, dogpiling or doxxing of other users""}, {""id"": ""7"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting""}, {""id"": ""8"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, or casteism""}, {""id"": ""9"", ""text"": ""No incitement of violence or promotion of violent ideologies""}, {""id"": ""10"", ""text"": ""Do not share intentionally false or misleading information""}]","[{""id"": ""5"", ""text"": ""To preserve a friendly space, and to preserve our links with other federated servers, people here will be expected to follow basic rules. Those include:""}, {""id"": ""6"", ""text"": ""No harassment, dogpiling or doxxing of other users""}, {""id"": ""7"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting""}, {""id"": ""8"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, or casteism""}, {""id"": ""9"", ""text"": ""No incitement of violence or promotion of violent ideologies""}, {""id"": ""10"", ""text"": ""Do not share intentionally false or misleading information""}]",,False,True
social.restless.systems,"[{""id"": ""2"", ""text"": ""Hatred will not be tolerated. This includes, but isn't limited to racist language, degorgatory statements and more.\r\n""}, {""id"": ""3"", ""text"": ""Remember the human. Try to keep it civil, although we understand things can get heated.""}, {""id"": ""4"", ""text"": ""Harassing others will not be tolerated: no means no.""}, {""id"": ""5"", ""text"": ""Server admins have final authority. Bans may be appealed, but ban evasion will lead to either IP blocks, or instance blocks as needed""}, {""id"": ""6"", ""text"": ""Be kind to others ...""}, {""id"": ""7"", ""text"": ""NSFW/R18 content must be marked as such""}, {""id"": ""8"", ""text"": ""Cyrptocurrency/NFT scams and spam will not be tolerated""}]",,,True,True
post.lurk.org,[],,,True,True
types.pl,"[{""id"": ""1"", ""text"": ""Racism, homophobia, antisemitism, transphobia, classism against the working class, ableism, exclusionary behavior, misogyny, genocide denial, harassment, Islamophobia, and other similar hate is not permitted. I will personally blast you into the sun. ""}, {""id"": ""2"", ""text"": "" Use content warnings for various topics, such as sexual content, mental health, food, and other touchy topics at your own discretion. If a content warning is required, the admins will let you know. ""}, {""id"": ""3"", ""text"": "" Don't advertise or spam. Asking for money is alright, but this is not a space to solely sell a product without somehow being tied to a user. ""}, {""id"": ""4"", ""text"": "" As a general rule of thumb, images should be captioned. If you are for whatever reason unable to caption an image, please add the content warning \""uncaptioned image\"" or something akin. ""}, {""id"": ""5"", ""text"": "" Illegal content is not allowed. Despite the knowledge that some laws are unjust, types.pl does not endorse illegal action. This specifically lies under the jurisdiction of the United States, as that is where the servers are located. ""}, {""id"": ""6"", ""text"": "" If you are using a Twitter crossposter, you should be posting content on Mastodon as well. If the large majority of your posts are Twitter crossposts, you will be banned. ""}, {""id"": ""8"", ""text"": ""No cops, no feds. Members of law enforcement, federal security and intelligence, the military, etc. are not welcome. This is particularly relevant for such organizations in the United States, where the servers are located.""}, {""id"": ""9"", ""text"": ""Administrators reserve the right to defederate with instances or boot users off the instance at their will for any reason.""}]","[{""id"": ""1"", ""text"": ""Racism, homophobia, antisemitism, transphobia, classism against the working class, ableism, exclusionary behavior, misogyny, genocide denial, harassment, Islamophobia, and other similar hate is not permitted. I will personally blast you into the sun. ""}, {""id"": ""2"", ""text"": "" Use content warnings for various topics, such as sexual content, mental health, food, and other touchy topics at your own discretion. If a content warning is required, the admins will let you know. ""}, {""id"": ""3"", ""text"": "" Don't advertise or spam. Asking for money is alright, but this is not a space to solely sell a product without somehow being tied to a user. ""}, {""id"": ""4"", ""text"": "" As a general rule of thumb, images should be captioned. If you are for whatever reason unable to caption an image, please add the content warning \""uncaptioned image\"" or something akin. ""}, {""id"": ""5"", ""text"": "" Illegal content is not allowed. Despite the knowledge that some laws are unjust, types.pl does not endorse illegal action. This specifically lies under the jurisdiction of the United States, as that is where the servers are located. ""}, {""id"": ""6"", ""text"": "" If you are using a Twitter crossposter, you should be posting content on Mastodon as well. If the large majority of your posts are Twitter crossposts, you will be banned. ""}, {""id"": ""8"", ""text"": ""No cops, no feds. Members of law enforcement, federal security and intelligence, the military, etc. are not welcome. This is particularly relevant for such organizations in the United States, where the servers are located.""}, {""id"": ""9"", ""text"": ""Administrators reserve the right to defederate with instances or boot users off the instance at their will for any reason.""}]",,False,True
lor.sh,"[{""id"": ""3"", ""text"": ""Don't be evil"", ""hint"": """"}, {""id"": ""4"", ""text"": ""Shitposting is evil"", ""hint"": """"}, {""id"": ""5"", ""text"": ""Nazism is also evil"", ""hint"": """"}, {""id"": ""6"", ""text"": ""And *phobia is evil too"", ""hint"": """"}, {""id"": ""7"", ""text"": ""Any kind of adult content that includes underage persons is not allowed"", ""hint"": """"}, {""id"": ""8"", ""text"": ""Keep local timeline safe for work"", ""hint"": """"}, {""id"": ""9"", ""text"": ""Be careful with people that don't understand jokes, they can be offended"", ""hint"": """"}, {""id"": ""10"", ""text"": ""Try to keep civil discourse even if the other side is not. Some people don't really know when their behavior is toxic. That does not make them bad"", ""hint"": """"}, {""id"": ""11"", ""text"": ""Respect free speech, but do not abuse it"", ""hint"": """"}, {""id"": ""12"", ""text"": ""Keep public content in English, French, or Russian. Don't forget to set the correct one in the post's settings"", ""hint"": """"}, {""id"": ""14"", ""text"": ""Mention that you read the rules in the registration message. Otherwise, your account will not be approved"", ""hint"": """"}, {""id"": ""15"", ""text"": ""Remember, each ActivityPub instance has its own set of rules. Other servers have no obligation to follow our rule set, but you can always block accounts/servers on your side"", ""hint"": """"}, {""id"": ""17"", ""text"": ""You are 18 or older"", ""hint"": """"}]",,,True,True
sciences.social,"[{""id"": ""5"", ""text"": ""Treat people with respect. ""}, {""id"": ""4"", ""text"": ""Use your real name and be yourself. Your real world reputation is valuable here and your reputation here is valuable in the real world.""}, {""id"": ""6"", ""text"": ""No sexism, racism, homophobia or transphobia or abusive behavior""}, {""id"": ""7"", ""text"": ""Use content warnings for \""off-topic\"" posts including rants and non-academic political or election content.""}]",,,True,True
astrodon.social,"[{""id"": ""1"", ""text"": ""No hate speech, sexism, ableism, homophobia, transphobia, discrimination, or harassment of any kind.""}, {""id"": ""3"", ""text"": ""No advertising or spam content. It's okay to promote yourself (especially your work and publications!), but not paid products or services.""}, {""id"": ""2"", ""text"": ""Be respectful and treat others the way you want to be treated. Disagreement and collegiate discussion is acceptable, and rational debate is to be encouraged. Rudeness, insults, exclusion of others, dogpiling, and other anti-social behaviour is not.""}, {""id"": ""5"", ""text"": ""No impersonation of others, or false representation of yourself, your credentials, or institutional affiliations.""}, {""id"": ""4"", ""text"": ""Public images and media must be annotated. Where the material is not yours, source attribution must be provided, preferably with a link to the original. ""}, {""id"": ""6"", ""text"": ""No shortened links, e.g. bit.ly, t.ly, goo.gl, ift.tt, lnkd.in, is.gd or t.co (These are malicious because link-shorteners track users without their consent and obscure the destination address, which also prevents users from being able to decide whether they want to visit the link beforehand)""}, {""id"": ""7"", ""text"": ""Use content warnings to help keep this a stress-free community. Consider marking off-topic content as sensitive to allow other community members to engage with it or not. Triggering content (see below) must be marked as sensitive.""}]","[{""id"": ""1"", ""text"": ""No hate speech, sexism, ableism, homophobia, transphobia, discrimination, or harassment of any kind.""}, {""id"": ""3"", ""text"": ""No advertising or spam content. It's okay to promote yourself (especially your work and publications!), but not paid products or services.""}, {""id"": ""2"", ""text"": ""Be respectful and treat others the way you want to be treated. Disagreement and collegiate discussion is acceptable, and rational debate is to be encouraged. Rudeness, insults, exclusion of others, dogpiling, and other anti-social behaviour is not.""}, {""id"": ""5"", ""text"": ""No impersonation of others, or false representation of yourself, your credentials, or institutional affiliations.""}, {""id"": ""4"", ""text"": ""Public images and media must be annotated. Where the material is not yours, source attribution must be provided, preferably with a link to the original. ""}, {""id"": ""6"", ""text"": ""No shortened links, e.g. bit.ly, t.ly, goo.gl, ift.tt, lnkd.in, is.gd or t.co (These are malicious because link-shorteners track users without their consent and obscure the destination address, which also prevents users from being able to decide whether they want to visit the link beforehand)""}, {""id"": ""7"", ""text"": ""Use content warnings to help keep this a stress-free community. Consider marking off-topic content as sensitive to allow other community members to engage with it or not. Triggering content (see below) must be marked as sensitive.""}]","[{""id"": ""1"", ""text"": ""No hate speech, sexism, ableism, homophobia, transphobia, discrimination, or harassment of any kind.""}, {""id"": ""2"", ""text"": ""Be respectful and treat others the way you want to be treated. Disagreement and collegiate discussion is acceptable, and rational debate is to be encouraged. Rudeness, insults, exclusion of others, dogpiling, and other anti-social behaviour is not.""}, {""id"": ""3"", ""text"": ""No advertising or spam content. It's okay to promote yourself (especially your work and publications!), but not paid products or services.""}, {""id"": ""4"", ""text"": ""Public images and media must be annotated. Where the material is not yours, source attribution must be provided, preferably with a link to the original. ""}, {""id"": ""5"", ""text"": ""No impersonation of others, or false representation of yourself, your credentials, or institutional affiliations.""}, {""id"": ""6"", ""text"": ""No shortened links, e.g. bit.ly, t.ly, goo.gl, ift.tt, lnkd.in, is.gd or t.co (These are malicious because link-shorteners track users without their consent and obscure the destination address, which also prevents users from being able to decide whether they want to visit the link beforehand)""}, {""id"": ""7"", ""text"": ""Use content warnings to help keep this a stress-free community. You are expected to mark off-topic content with a descriptive CW to allow other community members to engage with it or not. Stressful or triggering content (see community guidelines) must be marked with a content warning.""}]",False,True
flipboard.social,"[{""id"": ""6"", ""text"": ""This instance is part of Flipboard and adheres to the same Community Guidelines. You can read them here https://about.flipboard.com/community-guidelines/"", ""hint"": """"}, {""id"": ""7"", ""text"": ""Keep this instance safe, respectful, and fun by not violating the rules."", ""hint"": """"}, {""id"": ""8"", ""text"": ""Consider how your post might impact others - if it might be received as offensive, painful, or otherwise unwanted, please use a content warning (CW.)"", ""hint"": """"}, {""id"": ""34"", ""text"": ""Misgendering, deadnaming, or promotion of so-called \""conversion therapy\"" is prohibited."", ""hint"": """"}]",,"[{""id"": ""6"", ""text"": ""This instance is part of Flipboard and adheres to the same Community Guidelines. You can read them here https://about.flipboard.com/community-guidelines/"", ""hint"": """"}, {""id"": ""7"", ""text"": ""Keep this instance safe, respectful, and fun by not violating the rules."", ""hint"": """"}, {""id"": ""8"", ""text"": ""Consider how your post might impact others - if it might be received as offensive, painful, or otherwise unwanted, please use a content warning (CW.)"", ""hint"": """"}, {""id"": ""34"", ""text"": ""Misgendering, deadnaming, or promotion of so-called \""conversion therapy\"" is prohibited."", ""hint"": """"}]",True,True
