instance,period,timestamp,instance_name,rules,user_count,note
mastodon.lubar.me,jan-feb2023,20200919064810,Ben Lubar's Mastodon Instance,[],12,available-blue-dot
184.im,jan-feb2023,20250417140146,Sharkey,[],1,available-blue-dot
social.oberhauser.space,jan-feb2023,,,null,,no valid snapshot Jan-Feb 2023
pix.0m.ax,jan-feb2023,20241114234308,Pixelfed,[],1,available-blue-dot
appellate.social,jan-feb2023,20230521001640,Appellate Social,"[{""id"": ""5"", ""text"": ""To preserve a friendly space, and to preserve our links with other federated servers, people here will be expected to follow basic rules. Those include:""}, {""id"": ""6"", ""text"": ""No harassment, dogpiling or doxxing of other users""}, {""id"": ""7"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting""}, {""id"": ""8"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, or casteism""}, {""id"": ""9"", ""text"": ""No incitement of violence or promotion of violent ideologies""}, {""id"": ""10"", ""text"": ""Do not share intentionally false or misleading information""}]",85,available-blue-dot
social.restless.systems,jan-feb2023,,,null,,no valid snapshot Jan-Feb 2023
mastodon.im.sb,jan-feb2023,20220630074334,@im.sb Mastodon,"[{""id"": ""1"", ""text"": ""遵循中文互联网的通用规则。\r\n""}, {""id"": ""2"", ""text"": ""特别的，严禁儿童色情（包括二次元）、政治相关内容。\r\n""}, {""id"": ""3"", ""text"": ""严禁虚拟币推广、拉人头相关内容。""}]",227,available-blue-dot
post.lurk.org,jan-feb2023,,,null,,no valid snapshot Jan-Feb 2023
mastodon.li,jan-feb2023,20250429043640,Mastodon中文站,"[{""id"": ""4"", ""text"": ""不要發布討厭的小廣告"", ""hint"": ""不要發布討厭的小廣告""}, {""id"": ""5"", ""text"": ""為保護您的隱私，您可以考慮使用VPN登錄，並避免使用可能暴露您隱私的郵箱，如QQ郵箱，或以手機號註冊的郵箱（139、189等郵箱平台）等；"", ""hint"": ""為保護您的隱私，您可以考慮使用VPN登錄，並避免使用可能暴露您隱私的郵箱，如QQ郵箱，或以手機號註冊的郵箱（139、189等郵箱平台）等；""}, {""id"": ""6"", ""text"": ""註冊後2周內請至少使用一次您的帳號，發表內容或更換頭像均可。"", ""hint"": ""註冊後2周內請至少使用一次您的帳號，發表內容或更換頭像均可。""}, {""id"": ""8"", ""text"": ""帳號註冊成功以後儘量開啟雙重認證，確保帳戶不會被盜或者找回。"", ""hint"": ""帳號註冊成功以後儘量開啟雙重認證，確保帳戶不會被盜或者找回。""}, {""id"": ""9"", ""text"": ""和推特、微博一樣，Mastodon的私信並未加密，管理員可以通過伺服器調取信息。"", ""hint"": ""本站管理員承諾未經允許不主動調閱任何用戶的私信，但請以和微博、推特私信一樣的謹慎處理Mastodon私信，不要在其中暴露您的敏感信息，如詳細地址、銀行卡帳號、密碼等。""}]",657,available-blue-dot
types.pl,jan-feb2023,20230827042159,types.pl,"[{""id"": ""1"", ""text"": ""Racism, homophobia, antisemitism, transphobia, classism against the working class, ableism, exclusionary behavior, misogyny, genocide denial, harassment, Islamophobia, and other similar hate is not permitted. I will personally blast you into the sun. ""}, {""id"": ""2"", ""text"": "" Use content warnings for various topics, such as sexual content, mental health, food, and other touchy topics at your own discretion. If a content warning is required, the admins will let you know. ""}, {""id"": ""3"", ""text"": "" Don't advertise or spam. Asking for money is alright, but this is not a space to solely sell a product without somehow being tied to a user. ""}, {""id"": ""4"", ""text"": "" As a general rule of thumb, images should be captioned. If you are for whatever reason unable to caption an image, please add the content warning \""uncaptioned image\"" or something akin. ""}, {""id"": ""5"", ""text"": "" Illegal content is not allowed. Despite the knowledge that some laws are unjust, types.pl does not endorse illegal action. This specifically lies under the jurisdiction of the United States, as that is where the servers are located. ""}, {""id"": ""6"", ""text"": "" If you are using a Twitter crossposter, you should be posting content on Mastodon as well. If the large majority of your posts are Twitter crossposts, you will be banned. ""}, {""id"": ""8"", ""text"": ""No cops, no feds. Members of law enforcement, federal security and intelligence, the military, etc. are not welcome. This is particularly relevant for such organizations in the United States, where the servers are located.""}, {""id"": ""9"", ""text"": ""Administrators reserve the right to defederate with instances or boot users off the instance at their will for any reason.""}]",848,available-blue-dot
pixelfed.art,jan-feb2023,20250425125214,pixelfed.art,"[{""id"": ""1"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting""}, {""id"": ""2"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, or casteism""}, {""id"": ""3"", ""text"": ""No incitement of violence or promotion of violent ideologies""}, {""id"": ""4"", ""text"": ""No harassment, dogpiling or doxxing of other users""}, {""id"": ""5"", ""text"": ""No content illegal in United States, Canada or the EU""}, {""id"": ""6"", ""text"": ""No content that includes sexual depictions of minors (this includes loli)""}, {""id"": ""7"", ""text"": ""No posting other artist's work without credit AND analysis/opinion""}, {""id"": ""8"", ""text"": ""No AI generated art""}, {""id"": ""9"", ""text"": ""No follow or hashtag spam""}]",9264,available-blue-dot
mastodon.insa.lol,jan-feb2023,20250613220859,Mastodon,"[{""id"": ""1"", ""text"": ""Pas de racisme"", ""hint"": """"}, {""id"": ""2"", ""text"": ""Pas de sexisme"", ""hint"": """"}, {""id"": ""3"", ""text"": ""Pas d'harcèlement "", ""hint"": """"}]",1677,available-blue-dot
