Instance Name,Available
acillba-lux.com,yes
a11y.info,yes
mastodon.d.gs,yes
mastodon.minetestserver.ru,yes
rssfeed.media,yes
dju.social,yes
dnsimple.social,yes
genxer.nz,yes
mastodon.familleboisteau.fr,yes
ma.rokoucha.net,yes
pixelfed.orko.it,yes
arbitrarymusings.com,yes
social.kanhuji.eu,yes
mastodon.redgarterclub.com,yes
forestodon.com,yes
ruhrpott.social,yes
social.detroit.hockey,yes
iam.mikei.sh,yes
tokonatsu.social,yes
the.enchanted.quest,yes
gpose.site,yes
mastodon.pcgaldo.com,yes
social.simonschoof.com,yes
tooter.wishy.co.uk,yes
nycr.social,yes
ricko.photos,yes
zeal.center,yes
chud.space,yes
book.everythingbagel.me,yes
delaylama.de,yes
iys.io,yes
social.larus.se,yes
bb5.social,yes
aus.lgbt,yes
pixelfed.dk,yes
mountains.photos,yes
social.densco.net,yes
xn--ratatskr-r4a.de,yes
queer.blahaj.solutions,yes
mastodon.jordanwages.com,yes
magpie.masto.host,yes
social.b0t.at,yes
soundcafe.nl,yes
gayonly.ch,yes
artistalley.space,yes
rtsn.dev,yes
an.errant.cloud,yes
breakpoint.cafe,yes
fouroclockfarms.club,yes
peoplemaking.games,yes
lonely.town,yes
social.penguinability.net,yes
mastodon.darkou.fr,yes
mastodon.rip,yes
tormentnexus.social,yes
tchafia.be,yes
syzito.xyz,yes
fediver.de,yes
ecoevo.social,yes
social.fantorovevo.com,yes
mastodon.orko.it,yes
acat.world,yes
mooose.org,yes
a2mi.social,yes
social.nowicki.io,yes
mastodon.mfbfreaks.nl,yes
heretic.social,yes
mstdn.xicon.eu,yes
mastodon.cross-solution.de,yes
grammus.net,yes
suma-ev.social,yes
dbg.social,yes
social.ttnrtsite.me,yes
sndcstle.fedicity.net,yes
exae.co,yes
clacks.link,yes
meow.cloud,yes
bahn.social,yes
newgrounds.club,yes
masto.nu,yes
mastodon.hackerdrinks.social,yes
social.zyphyr.de,yes
tf3.social,yes
toot.xn--radwrts-8wa.de,yes
stansells.org,yes
fandomonium.space,yes
media.lukeog.com,yes
nautilus.place,yes
nekton.social,yes
mstdn.blueday.blue,yes
meowr.me,yes
mas.trolled.lol,yes
mastodon.douvk.co.uk,yes
mastodon.le-palantir.com,yes
thunderstruck.fedicity.net,yes
social.eb8.org,yes
botwerks.social,yes
pipou.academy,yes
kalmar.social,yes
