,Unnamed: 0,Instance Id,Instance Name,Is Dead,User Count,Description,Short,topic,active users,dead,reg,rules,cleaned_rules
142,142,636ee63b80bb3f03b435a4db,gearheads.social,False,915,"<p><strong>For gearheads, by gearheads</strong> — a federated network for those into gear: the heavy stuff, the light wear, the fetish made, the safety built, and everything in-between.</p>

<h2>⚡️ Background</h2>

<p>Due to increasing tensions relating to Twitter, niche groups who once called it home feel it is slowly crumbling away. As such, many people are jumping across to <a href=""https://fedi.tips/mastodon-and-the-fediverse-beginners-start-here/#whatismastodon"">Mastodon</a> — and this includes the relatively small, but substantial, assemblage of gearheads.</p>

<p>And so, Gearheads, starting out (and still existing) as <a href=""https://t.me/JoinGearheads"">a Telegram group of the same name</a>, is now one of many <em>many</em> growing <a href=""https://joinmastodon.org/servers"">Mastodon providers</a>. We aim to provide a safe space for those into the gear kink, as well as stable platform for your content.</p>

<p>Like every Mastodon provider, this one can talk across the federated network, allowing users from other providers to interact with it: if you already have a Mastodon account elsewhere, there&#39;s no need to even join this one! It&#39;s like your email: you only need one address to message anyone in the world.</p>

<p><em>Still confused about federation or Mastodon? See <a href=""https://fedi.tips"">fedi.tips</a> for more.</em></p>

<h2>🆘 Need help?</h2>

<p>If a post is bothering you, please use the <strong>Report @user</strong> feature under a post&#39;s overflow menu. We&#39;ll get on it as soon as we can.</p>

<p>Any other issues or concerns can be raised by tagging <a href=""https://gearheads.social/@staff"">@staff</a>, or tagging us directly:</p>

<ul>
<li><strong>Astra</strong>: <a href=""https://gearheads.social/@astra"">@astra@gearheads.social</a></li>
<li><strong>Ducky</strong>: <a href=""https://gearheads.social/@ducky"">@ducky@gearheads.social</a></li>
<li><strong>Kalibur</strong>: <a href=""https://gearheads.social/@KaliburVuhuni"">@KaliburVuhuni@gearheads.social</a></li>
</ul>

<p>As a last-ditch attempt, you can also shoot an email to <a href=""mailto:hello@gearheads.social"">hello@gearheads.social</a>.</p>

<h2>💸 Donations</h2>

<p>Like literally every decent Mastodon instance, we are entirely ad-free and rely solely on the (sometimes shallow) pockets of its owners and tips for a lovely users. Considering chipping in if you can: our goal stands at just £12/mo.</p>

<p><a href=""https://liberapay.com/gearheads.social""><img src=""https://liberapay.com/assets/widgets/donate.svg"" alt=""Donate via Liberapay""></a></p>
","For gearheads, by gearheads — a federated network for those into gear: the heavy stuff, the light wear, the fetish made, the safety built, and everything in-between.",Gearheads,,,True,"[{'id': '3', 'text': '🔞 Nobody under 18 years old'}, {'id': '4', 'text': '🤝 Be respectful of all our members'}, {'id': '5', 'text': '✨ Original photos and videos only'}, {'id': '12', 'text': '😈 Explicit content must be marked with a CW (Content Warning)'}, {'id': '19', 'text': '🤖 Bots are allowed, but be civil'}, {'id': '20', 'text': '💥 Content considered illegal in 🇫🇮 Finland, 🇳🇱 Netherlands, and 🇬🇧 UK, is not tolerated '}]","['🔞 Nobody under 18 years old', '🤝 Be respectful of all our members', '✨ Original photos and videos only', '😈 Explicit content must be marked with a CW (Content Warning)', '🤖 Bots are allowed, but be civil', '💥 Content considered illegal in 🇫🇮 Finland, 🇳🇱 Netherlands, and 🇬🇧 UK, is not tolerated ']"
264,264,637b34c3d94dca7f11e7c951,forum-lucifer.com,False,560,"<p>脱离渣浪，回归创作</p>
",,露西弗社区,,,True,"[{'id': '3', 'text': '禁止恋童'}, {'id': '8', 'text': '禁止官能纯肉'}, {'id': '9', 'text': '禁止侵犯版权、抄袭'}, {'id': '10', 'text': '禁止粗俗用语、人身攻击'}, {'id': '11', 'text': '禁止政治言论、敏感话题'}]","['禁止恋童', '禁止官能纯肉', '禁止侵犯版权、抄袭', '禁止粗俗用语、人身攻击', '禁止政治言论、敏感话题']"
296,296,63dff5cd0af1d816409dc560,burma.social,False,1377,"<p>Burma Social.</p>

<p>Our platform is free from censorship and we do not engage in advertising or promotion. Our aim is to provide a free and open environment.</p>
","Burma Social.
Our platform is free from censorship and we do not engage in advertising or promotion. Our aim is to provide a free and open environment.",Burma Social,,,True,"[{'id': '2', 'text': 'Our platform is free from censorship and we do not engage in advertising or promotion. Our aim is to provide a free and open environment.'}, {'id': '3', 'text': 'Prohibitions:\r\nIllegal content\r\nIntentionally harmful or harassing content\r\nHate speech and discrimination\r\nExcessive self-promotion\r\nSpam'}, {'id': '4', 'text': 'Emphasis:\r\nCreating a welcoming and inclusive environment'}]","['Our platform is free from censorship and we do not engage in advertising or promotion. Our aim is to provide a free and open environment.', 'Prohibitions:\r\nIllegal content\r\nIntentionally harmful or harassing content\r\nHate speech and discrimination\r\nExcessive self-promotion\r\nSpam', 'Emphasis:\r\nCreating a welcoming and inclusive environment']"
28,28,58fb1b073765484c460d736b,mstdn.mx,False,1376,"<!-- mastodon v3.3 <ul>
<li><strong>NO SE ACEPTAN CUENTAS NI BOTS DE MARKETING.</strong> Se darán de baja todos los bots y cuentas de marketing sin excepción y sin aviso</li>
<li>Todo BOT nuevo (previamente autorizado) será silenciado en el timeline público, sólo lo podrán ver quienes los sigan.</li>
<li>NO PORN</li>
<li>NO RACISMO</li>
<li>NO Discriminación</li>
<li>NO Lenguaje de odio (insultos, propaganda, etc.)</li>
<li>No se acepta propaganda política, de ningún tipo, de ninguna persona, de ningún país</li>
</ul>
<p>Simplemente ten sentido común, compórtate digitalmente como lo haces en tu vida diaria</p> -->
","Primera instancia de Mastodon de México, desde Abr 2017.
Aquí hablamos de tecnología, literatura, ciencia, cultura, música, anime, series, películas, el acontecer diario y lo que te nazca del corazón",MaSToDoN.MX,,,True,"[{'id': '1', 'text': 'NO SE ACEPTAN CUENTAS NI BOTS DE MARKETING'}, {'id': '2', 'text': 'NO PORN (de ningún tipo: soft, loli, etc.)'}, {'id': '4', 'text': 'NO Discriminación (raza, género, preferencia, identidad, clase, etc.)'}, {'id': '6', 'text': 'No se acepta propaganda política, de ningún tipo, de ninguna persona, de ningún país'}, {'id': '8', 'text': 'NO SPAM (usar la cuenta solo para anunciar productos/servicios, crossposting, postear imágenes y/o texto indiscriminadamente, etc...)'}, {'id': '11', 'text': 'Toda expresión de odio, acoso o ataque personal está prohibido.'}, {'id': '12', 'text': 'Todo tema controversial (como política) debe publicarse con un Content Warning (CW)'}]","['NO SE ACEPTAN CUENTAS NI BOTS DE MARKETING', 'NO PORN (de ningún tipo: soft, loli, etc.)', 'NO Discriminación (raza, género, preferencia, identidad, clase, etc.)', 'No se acepta propaganda política, de ningún tipo, de ninguna persona, de ningún país', 'NO SPAM (usar la cuenta solo para anunciar productos/servicios, crossposting, postear imágenes y/o texto indiscriminadamente, etc...)', 'Toda expresión de odio, acoso o ataque personal está prohibido.', 'Todo tema controversial (como política) debe publicarse con un Content Warning (CW)']"
51,51,5a65d82063008a32652afef9,glaceon.social,False,502,"<p>glaceon.social is a community of people with diverse interests. This is a general instance with no specific topic you're required to stick to; feel free to talk about whatever! About the only constant is that if someone has an account here, they probably like pokemon at least a little. If that sounds like a good time, welcome to glaceon.social.</p>

<p>Please note that at this time, this is a primarily English-language instance. Unfortunately, I can only effectively moderate a site where the vast majority of posts are in the language I understand. I apologize for the inconvenience.</p>

<h3>Guidelines</h3>

<p>The following guidelines are not a legal document, and final interpretation is up to the administration of glaceon.social. They are here to provide you with insight into our philosophy and content moderation policies.</p>

<p><strong>The following types of content may be removed from the public timeline at the discretion of the moderator.</strong></p>

<ul>
  <li>Excessive advertising</li>
  <li>Uncurated news bots posting from third-party news sources</li>
  <li>Untagged nudity, pornography and sexually explicit content, including artistic depictions</li>
  <li>Untagged gore and extremely graphic violence, including artistic depictions</li>
<li>Deliberately inflammatory content with the intent to trigger or hurt others, at the discretion of administration.</li>
</ul>

<p><strong>The following types of content will be removed from the public timeline, and may result in account suspension and revocation of access to the service.</strong></p>

<ul>
  <li>Racism or advocation of racism</li>
  <li>Sexism or advocation of sexism</li>
  <li>Discrimination against gender and sexual minorities, or advocation thereof</li>
  <li>Xenophobic and/or violent nationalism</li>
</ul>

<p><strong>The following types of content are explicitly disallowed and will result in revocation of access to the service.</strong></p>

<ul>
  <li>Sexual depictions of children</li>
  <li>Content illegal in Germany and/or France, such as holocaust denial or Nazi symbolism</li>
  <li>Conduct promoting the ideology of National Socialism (i.e. the Nazi party), the political far or ""alt""-right, or Gamergate</li>
</ul>

<p><strong>Any conduct intended to stalk other users, or to impede other users from utilizing the service, or to degrade the performance of the service, or to harass other users, or to incite other users to perform any of the aforementioned actions, <em>identified at the sole discretion of the administrator and moderators</em>, is also disallowed, and subject to action up to and including revocation of access to the service.</strong> This includes, but is not limited to, the following behaviors:</p>

<ul>
  <li>Continuing to engage in conversation with a user that has specifically has requested for said engagement with that user to cease and desist may be considered harassment, regardless of platform-specific privacy tools employed.</li>
  <li>Aggregating, posting, and/or disseminating a person's demographic, personal, or private data without express permission (informally called doxing or dropping dox) may be considered harassment.</li>
  <li>Inciting users to engage another user in continued interaction or discussion after a user has requested for said engagement with that user to cease and desist (informally called brigading or dogpiling) may be considered harassment.</li>
</ul>

<p>These provisions notwithstanding, the administration of the service reserves the right to revoke any user's access permissions, at any time, for any reason, except as limited by law.</p>

<h3>GDPR and CCPA</h3>

<p>glaceon.social uses cookies to maintain your login session and for no other reason.</p>

<p>glaceon.social stores your email address, which is used as your account name to log you in. Your email is not visible to anyone but the administrators of the site. We do not send you email unless you request it.</p>

<p>glaceon.social has no advertising partners. Because of the nature of a federated social network, we share your non-private posts with other servers. However, we do not share your personal data, or aggregated non-personal data, with anyone. We do publish statistical data about the entire body of glaceon.social users as a way for others to measure the health of our instance, but your individual information cannot be extracted from those figures.</p>

<h3>Scraping</h3>

<p>Each user of glaceon.socail retains all copyright to the original content of posts they make on glaceon.social. You may not make a copy of any other user's posts for any purpose other than the normal functioning of ActivityPub federation and the RSS feeds generated by the Mastodon software of any content originally posted to glaceon.social without acquiring the affirmative consent of the administrator for each post you wish to copy. If you maintain such a copy of any post that originated on glaceon.social, you must regularly check back with the server to determine whether that post has been changed or removed, and you must update your copy or depiction to reflect any changes to the post, or remove your copy or depiction if the post has been removed.</p>

<h3>Help, I've been suspended!</h3>

<p><strong>If you were a glaceon.social user and your account was suspended:</strong></p>

<p>This is unlikely to be reverted. Account suspension is used as a measure of last resort. If you truly, truly believe that such a decision was made in error, contact <a href=""mailto:admin@glaceon.social"">admin@glaceon.social</a> with a ban appeal. Please don't waste my time.</p>

<p>Note that the Mastodon software deletes all of a suspended user's data after 30 days. If 30 days have passed, your account <em>cannot</em> be unsuspended; the data no longer exists.</p>

<p><strong>If you are a remote user and you believe your account or your instance was suspended by glaceon.social:</strong></p>

<p>Again, this is unlikely to be reverted. Instance and remote account suspensions are intended to be final decisions. If you believe that an error has been made, contact <a href=""mailto:admin@glaceon.social"">admin@glaceon.social</a>. Please don't waste my time.</p>

<h3>Acknowledgements</h3>

<p>All of our pokemon sprite emojis (other than a few obviously altered ones) were graciously provided by <a href=""https://donphan.social/@Siphonay"">@Siphonay@donphan.social</a>.</p>

<p>This code of conduct is based heavily on the one provided by <a href=""https://elekk.xyz"">Elekk</a>, with permission. Thanks!</p>

<p><a href=""https://jortage.com""><img style=""width: 290px; height: 130px"" src=""https://blob.jortage.com/jortage-banner.svg"" alt=""This instance's media is powered by Jortage — lightning-fast pay-what-you-can media storage for Fediverse instances""/></a></p>
","A general fediverse instance for people who generally like pokemon at least a little bit. Newly registered users must be manually approved due to an increasing number of spam bots; if you look like a person, your account will be approved as soon as possible.",glaceon.social,,,True,"[{'id': '1', 'text': 'Please see the rules here: https://glaceon.social/about/more'}]",['Please see the rules here: https://glaceon.social/about/more']
225,225,637b30b9d94dca7f11e7b928,social.yesterweb.org,False,709,"<p>The Yesterweb is a community which acknowledges that today&#39;s internet is lacking in creativity, self-expression, and good digital social infrastructure and wants to change that.</p>
","The Yesterweb is a community which acknowledges that today's internet is lacking in creativity, self-expression, and good digital social infrastructure and wants to change that.",social.yesterweb.org,,,True,Failed to retrieve instance information. Status code: 403,"['data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string', 'data type is a string']"
221,221,637b3080d94dca7f11e7b839,social.kyiv.dcomm.net.ua,False,1189,"<p>Тут дискутують про #Ukraine, технології, суспільні події, підтримку ЗСУ</p>

<p>Українські інстанси Mastodon, що розгорнуті в 9 українських містах у серпні-вересні 2022 року. Київський інстанс є частиною https://dcomm.net.ua</p>
","Київський інстанс є частиною https://dcomm.net.ua.

Українські локальні інстанси Mastodon були розгорнуті в 9 українських містах у серпні-вересні 2022 року ",ключовий інстанс dComm в Mastodon ,,,True,"[{'id': '2', 'text': 'Ласкаво просимо до українських локальних серверів Mastodon як частини https://dcomm.net.ua/\r\n'}, {'id': '3', 'text': 'Ми є прихильниками вільних дискусій, свободи слова, прав людини та взаємоповаги.'}, {'id': '4', 'text': 'Адміни залишають за собою право блокувати користувачів з країни-агресора;'}, {'id': '5', 'text': 'Спілкування українською та англійською мовами вітається й заохочується;'}, {'id': '6', 'text': 'Не допускається заперечення російської агресії проти України, воєнних злочинів росії, тимчасової окупації Криму, Донецької, Луганської та інших областей України; '}, {'id': '7', 'text': 'Не допускаються погрози та мова ненависті на адресу інших користувачів;'}, {'id': '8', 'text': 'Поширення російської дезінформації та кремлівських наративів є підставою для блокування.'}, {'id': '9', 'text': 'Якщо ви помітили порушення правил цього сервера – будь ласка, повідомте про це адміністратора або ж пишіть на: mastodon@equalitie.org '}]","['Ласкаво просимо до українських локальних серверів Mastodon як частини https://dcomm.net.ua/\r\n', 'Ми є прихильниками вільних дискусій, свободи слова, прав людини та взаємоповаги.', 'Адміни залишають за собою право блокувати користувачів з країни-агресора;', 'Спілкування українською та англійською мовами вітається й заохочується;', 'Не допускається заперечення російської агресії проти України, воєнних злочинів росії, тимчасової окупації Криму, Донецької, Луганської та інших областей України; ', 'Не допускаються погрози та мова ненависті на адресу інших користувачів;', 'Поширення російської дезінформації та кремлівських наративів є підставою для блокування.', 'Якщо ви помітили порушення правил цього сервера – будь ласка, повідомте про це адміністратора або ж пишіть на: mastodon@equalitie.org ']"
179,179,637b2affad72ace2dcf18ce2,mastodon.hypnoguys.com,False,1154,"<h1>Hypnosis</h1>

<p>HypnoGuys is a Mastodon server focused on guys who are into
hypnosis, including (but not limited to) erotic applications.
This is also commonly known as &quot;erotic hypnosis&quot; or &quot;hypnokink&quot;.
You do not have to be interested in hypnosis to join this server,
but you must understand and accept that hypnosis is the theme
of this server.</p>

<h1>Gendered Space</h1>

<p>HypnoGuys is a gendered space: as the name implies, this server is focused on
guys. People of all genders and sexualities are allowed to use this server, as
long as they understand that &quot;guys&quot; are the focus here. If you are looking for
a Mastodon server focused on hypnosis <em>without</em> this focus on guys,
<a href=""https://mastodon.triggerphra.se"">Triggerphrase</a> is an excellent
option.</p>

<p>Note that sex and gender discrimination is not allowed on this server. Despite
being a gendered space, HypnoGuys does not put down people who are not guys.</p>

<h1>Content Warnings (CW)</h1>

<p>Mastodon provides a &quot;content warning&quot; feature, where users can gate their
posts behind a short piece of text, warning potential readers of what they
are about to encounter. Content warnings (or CWs) must be used for content
that involves explicit sex, such as fucking.</p>

<p>However, not all erotic content requires a CW on this server. Generally
speaking, we follow the example set by the popular
<a href=""https://woof.group"">woof.group</a> Mastodon server: anything that you might
see in a leather bar is perfectly acceptable and does <em>not</em> require
a content warning.
Flirting, groping, jockstraps, boobs, butts, moderate impact, pup gear: no CW necessary.
If you&#39;d take it to the back bar or the playroom, use a CW.
Genitals, piss, fucking, fisting, piercing, scat: CW please.</p>

<p><a href=""https://blog.woof.group/docs/"">Check out the documentation for woof.group to see more about this policy.</a></p>

<h1>Banned content</h1>

<p>You may not post the following content on HypnoGuys:</p>

<ul>
<li>Sexual content involving minors, including artistic depictions</li>
<li>Gore and extremely graphic violence, including artistic depictions</li>
<li>National Socialism</li>
<li>Nazism</li>
<li>Holocaust denial</li>
<li>Racism</li>
<li>Alt right, including under the disguise of freedom of speech</li>
<li>Gender-critical</li>
<li>Sex and gender discrimination</li>
<li>Transphobia</li>
<li>Misogyny</li>
<li>Pro-ana / Pro-mia</li>
</ul>

<h1>Banned activities</h1>

<p>You may not engage in any of the following activities on HypnoGuys:</p>

<ul>
<li>Automated sharing of third-party content, news sources, websites or social
media content that doesn’t belong to you</li>
<li>Repeated trolling, insulting or derogatory comments towards others, even
after they ask you to stop</li>
<li>Mass following and aggregation of content</li>
</ul>

<h1>Approved content</h1>

<p>As long as you don&#39;t violate any of the above rules, you may post any content
you want on HypnoGuys, whether related to hypnosis or not. In addition, here
are some examples that are explicitly approved, and <em>do</em> belong on this
server:</p>

<ul>
<li>Discussions of hypnosis, including hypnotherapy and erotic hypnosis</li>
<li>Media related to hypnosis (such as spirals, art, photo manipulations, audio,
video, etc) that you own, or that the owner has provided written permission
for you to post</li>
<li>Advertising professional services related to hypnosis</li>
<li>Explicit sexual content, <em>with an appropriate <a href=""https://docs.joinmastodon.org/user/posting/#cw"">content warning</a></em></li>
</ul>
",A social network for guys who are into hypnosis.,HypnoGuys,,,True,"[{'id': '1', 'text': ""Be kind! Don't be a dick.""}, {'id': '2', 'text': ""If it would be fine in a bar or public leather event space, it doesn't need a content warning here. Use content warnings for things you'd take to the back bar or a private room.""}, {'id': '3', 'text': ""We're trans-inclusive, body-positive, and anti-racist here.""}, {'id': '4', 'text': 'You must be over 18 years of age.'}, {'id': '5', 'text': 'You must have the legal rights to any content you post.'}]","[""Be kind! Don't be a dick."", ""If it would be fine in a bar or public leather event space, it doesn't need a content warning here. Use content warnings for things you'd take to the back bar or a private room."", ""We're trans-inclusive, body-positive, and anti-racist here."", 'You must be over 18 years of age.', 'You must have the legal rights to any content you post.']"
258,258,637b31fed94dca7f11e7be3a,opalstack.social,False,1475,"<h1>Opalstack</h1>

<h2>Mastodon for Professionals and Brands</h2>

<p>Managed Hosting tailored for developers, entrepreneurs, and businesses. Benefit from our industry-leading support and focus on your market without the hassles of administration or content moderation.</p>

<h2>Rules</h2>

<p>We rigorously adhere to the <a href=""https://joinmastodon.org/covenant"">Mastodon Server Covenant</a>. The admin team actively addresses reports, offering guidance and, if necessary, immediate intervention in cases of abuse.</p>

<h2>English Language Only</h2>

<p>Effective from September 2023, accounts with non-English information in their profiles will be suspended. This measure addresses the surge of fake accounts promoting SPAM in other languages. Our admin team is proficient in English moderation, making it the exclusive language for our platform.</p>

<h2>Server Blocking</h2>

<p>We block instances promoting extreme political views (both far-right and far-left) due to their potential for abusive tactics and hate speech promotion. Additionally, instances with incompatible rules or technical issues that affect our server&#39;s functionality are subject to blocking. This includes, but is not limited to, kink, porn, anti-crypto, and anti-capitalist themed servers.</p>

<h2>SPAM</h2>

<p>Strictly prohibited. Accounts suspected of SPAM will be banned immediately. Maintaining the server&#39;s reputation is paramount. We emphasize personal interactions and robust moderation to prevent SPAM, which is detrimental to our and your reputation. Brand awareness works on Mastodon through one on one interactions and genuine content, not SPAM advertising.</p>

<h2>Prohibition of Gambling and Betting Activities</h2>

<p>We enforce a strict ban on all forms of gambling, gaming for money, betting, or related activities. This encompasses sharing links to gambling sites, discussing or promoting betting strategies, organizing betting pools, and any advertisements or sponsorships related to gambling. Violations may lead to warnings or bans, depending on the severity.</p>

<h2>New Rule: Regulation of SPAM Content for Brands and Professionals</h2>

<p>Link posting SPAM bots will not be tolerated. It doesn&#39;t work here. It harms the server. Build your own server or add ActivityPub to your website if you want this kind of engagement. This is an exploit pure and simple and we do not tolerate it.</p>

<h3>Engagement and Authenticity</h3>

<ol>
<li><p><strong>Purposeful Engagement:</strong> Content must engage the Mastodon community or use the ActivityPub protocol. Purely promotional content without meaningful interaction is SPAM.</p></li>
<li><p><strong>Authenticity and Relevance:</strong> Posts should be authentic, relevant, and add value. Repetitive, irrelevant, or solely promotional content is considered SPAM.</p></li>
<li><p><strong>Community Standards:</strong> Brands and professionals should foster community by participating in discussions, responding to feedback, and sharing content that reflects the interests and values of the Mastodon community.</p></li>
<li><p><strong>Closed Enrollment Policy:</strong> To maintain quality and community engagement, open enrollment is closed. New members are selectively admitted based on alignment with community values and standards.</p></li>
</ol>

<p>Non-compliance may lead to content removal, warnings, or account suspension. These rules aim to balance professional and brand contributions with the ethos of Mastodon and ActivityPub.</p>
","For professionals and brands. Focus on your market, not administration.",Opalstack Social,,,True,"[{'id': '5', 'text': 'By signing up and using the service at opalstack.social you are agreeing to the terms of service outlined in the privacy policy.'}, {'id': '7', 'text': 'Follow all laws of the United States.'}, {'id': '8', 'text': 'Sexually explicit or violent media must be marked as sensitive when posting.'}, {'id': '9', 'text': 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism. '}, {'id': '10', 'text': 'No incitement of violence or promotion of violent ideologies.'}, {'id': '11', 'text': 'No harassment, dogpiling or doxxing of other users. '}, {'id': '12', 'text': 'No false or misleading information that may lead to physical harm. '}, {'id': '14', 'text': ""No behavior perceived as SPAM will be tolerated. If we see this behavior we will ban your account. See 'About' page for details. SPAM is mindless posting of links to your content. Do your due diligence before attempting to market here. ActivityPub is about human interaction.""}, {'id': '18', 'text': 'Prohibition of Gambling and Betting Activities'}, {'id': '19', 'text': ""English language only. Our admin team's primary language is English. That is the language we are trained and qualified to support. ""}, {'id': '20', 'text': ""All brands need a real human representative to have an account and be human verifiable. Provide your social media links and anything our admin team needs to validate you as 'real human'. Once you have been verified PM the admin to request access for your brand. No exceptions.""}]","['By signing up and using the service at opalstack.social you are agreeing to the terms of service outlined in the privacy policy.', 'Follow all laws of the United States.', 'Sexually explicit or violent media must be marked as sensitive when posting.', 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism. ', 'No incitement of violence or promotion of violent ideologies.', 'No harassment, dogpiling or doxxing of other users. ', 'No false or misleading information that may lead to physical harm. ', ""No behavior perceived as SPAM will be tolerated. If we see this behavior we will ban your account. See 'About' page for details. SPAM is mindless posting of links to your content. Do your due diligence before attempting to market here. ActivityPub is about human interaction."", 'Prohibition of Gambling and Betting Activities', ""English language only. Our admin team's primary language is English. That is the language we are trained and qualified to support. "", ""All brands need a real human representative to have an account and be human verifiable. Provide your social media links and anything our admin team needs to validate you as 'real human'. Once you have been verified PM the admin to request access for your brand. No exceptions.""]"
136,136,636d580180bb3f03b435a46b,macaw.social,False,1062,"<p>This server is intended for current/previous twitter employees and their close friends/family.</p>

<p>We filter signups to try keep the server focused for community reasons. </p>
",A small server by some ex-tweeps mostly for other *tweeps and friends.,Macaw-Social,,,False,"[{'id': '1', 'text': ""Don't post anything which would violate the law in either your home jurisdiction, under US law, or Washington State law\r\n""}, {'id': '2', 'text': ""Don't be a jerk.  Hate speech, discrimination, and harassment of any kind are not tolerated here. ""}, {'id': '3', 'text': 'If you post adult content, please mark it as sensitive so that your followers can choose when to see it. '}, {'id': '4', 'text': 'No spam.  This includes using completely unrelated hashtags in your posts. '}, {'id': '5', 'text': 'This instance is intended only for anyone who was ever employed at twitter, and select friends. '}, {'id': '7', 'text': 'Please do not use trademarked usernames. '}, {'id': '8', 'text': 'No Misinformation. '}]","[""Don't post anything which would violate the law in either your home jurisdiction, under US law, or Washington State law\r\n"", ""Don't be a jerk.  Hate speech, discrimination, and harassment of any kind are not tolerated here. "", 'If you post adult content, please mark it as sensitive so that your followers can choose when to see it. ', 'No spam.  This includes using completely unrelated hashtags in your posts. ', 'This instance is intended only for anyone who was ever employed at twitter, and select friends. ', 'Please do not use trademarked usernames. ', 'No Misinformation. ']"
