Topic," ""<5"""," ""5-15"""," ""15-35"""," ""35-150"""," ""150-500"""," ""500-1500"""," ""1500-5000"""," "">5000"""
General Respectfulness,2,7,11,9,8,16,7,8
Random,10,6,9,1,1,1,1,1
Illegal,1,8,7,10,13,17,4,13
Violence,3,6,6,11,11,9,10,10
"Harassment, Doxxing",2,9,7,9,6,12,12,11
Misinformation,1,5,3,8,8,5,4,9
Hate Speech,3,21,13,19,17,27,21,32
"Sexual Content, Content Warning",2,5,5,10,19,11,7,17
Propaganda,1,2,1,3,3,2,7,6
Technical Details,0,1,0,0,9,0,0,0
Instance Restrictions,0,3,1,10,8,10,3,4
Copyright,0,3,0,2,1,3,1,3
Spam,0,4,1,7,7,17,3,14
Age Restriction,0,2,2,1,1,3,1,2
Disclaimer,0,2,0,0,0,5,0,0
Moderation,0,1,4,6,10,15,7,18
Conspiracy Theories,0,2,0,0,0,0,0,0
Bots,0,1,3,2,2,4,2,7
Ads,0,2,1,0,2,1,1,1
"Identity Theft, Identity Gimmick",0,0,2,2,2,3,1,5
Crypto,0,0,2,2,3,3,0,3
AI-generated Content,0,0,1,1,1,2,1,2
Supported Claims,0,0,0,0,0,1,0,1
Human-Identifiable,0,0,0,0,0,0,1,0
Cross-Posting,0,0,0,0,0,0,2,0
Anti-Brand,0,0,0,0,0,0,1,0
Self-Promotion,0,0,0,0,0,1,2,1
Misleading Information,0,0,0,1,0,0,0,0
Political Content,0,0,0,1,0,1,0,1
Nationalism,0,0,0,1,0,0,0,1
Rules,0,0,0,1,0,0,0,1
Hacking,0,0,0,1,0,1,0,1
