,id,content,created_at,mentions,tags,favourites_count,replies_count
24,111281392815302410,"<p>We're playing factorio -- will we get the lazy bastard achievement? 🦝&nbsp;</p><p>Come join me over on Twitch:<br><a href=""https://www.twitch.tv/malle_yeno"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://www.</span><span class="""">twitch.tv/malle_yeno</span><span class=""invisible""></span></a></p><p><a href=""https://tech.lgbt/tags/goinglive"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>goinglive</span></a></p>",2023-10-23 00:01:38+00:00,[],"[{'name': 'goinglive', 'url': 'https://genomic.social/tags/goinglive'}]",0,0
94,111281418026296734,"<p>Australians love to antagonise the PRC then squeal like stuck pigs when the Chinese government imposes tariffs on Australian wine, seriously damaging the industry</p>",2023-10-23 00:08:03+00:00,[],[],0,0
104,111281426435947056,"<p>fuck voice training! if you’re bricky like me it won’t help you pass anyway, only do it if your voice actually bothers you!</p><p>and don’t go around telling people it’s a matter of survival, i and many other uggo’s survive clocking and cis hatred just fine without access to expensive voice coaches,</p><p>it *is* my choice to keep my voice, i make music and radio, my voice is important to me, so shut yr fucking mouth pretty girl, your experience is not universal!</p>",2023-10-23 00:10:11+00:00,[],[],0,0
198,111281474041009145,"<p>😁 <br><span class=""h-card"" translate=""no""><a href=""https://fediscience.org/@PLOSBiology"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>PLOSBiology</span></a></span></p>",2023-10-23 00:22:15+00:00,"[{'id': 109315346892729043, 'username': 'PLOSBiology', 'url': 'https://fediscience.org/@PLOSBiology', 'acct': 'PLOSBiology@fediscience.org'}]",[],0,0
316,111281525206301167,"<p>Cecil Lively vs Daenerys Targaryen ""Fight Fire With Fire"" Special Showdown</p>",2023-10-23 00:35:18+00:00,[],[],0,0
415,111281569041788796,"<p>Yesterday morning, radio was veddy veddy good to me.<br>Got to talk to Dale outside Brisbane Queensland Australia before he called it a day and Tamer in Austria for a little bit.<br>Both were on 20m and clear signals for such opposite directions.<br>Dallas even got in on the action</p><p><a href=""https://mastodon.social/tags/HamCats"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>HamCats</span></a> <br><a href=""https://mastodon.social/tags/cats"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>cats</span></a><br><a href=""https://mastodon.social/tags/catsofmastodon"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>catsofmastodon</span></a> <br><a href=""https://mastodon.social/tags/hamradio"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>hamradio</span></a><br><a href=""https://mastodon.social/tags/amatuerRadio"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>amatuerRadio</span></a></p>",2023-10-23 00:46:28+00:00,[],"[{'name': 'hamcats', 'url': 'https://genomic.social/tags/hamcats'}, {'name': 'cats', 'url': 'https://genomic.social/tags/cats'}, {'name': 'catsofmastodon', 'url': 'https://genomic.social/tags/catsofmastodon'}, {'name': 'hamradio', 'url': 'https://genomic.social/tags/hamradio'}, {'name': 'amatuerRadio', 'url': 'https://genomic.social/tags/amatuerRadio'}]",0,0
420,111281216801192859,"<p>If Hamilton and Leclerc each get a DSQ for failing the plank check, Williams have got both cars in the points.<br><a href=""https://mstdn.social/tags/F1"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>F1</span></a> <a href=""https://mstdn.social/tags/USGP"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>USGP</span></a> <a href=""https://mstdn.social/tags/LewisHamilton"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>LewisHamilton</span></a> <a href=""https://mstdn.social/tags/CharlesLeclerc"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>CharlesLeclerc</span></a> <a href=""https://mstdn.social/tags/WilliamsF1"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>WilliamsF1</span></a></p>",2023-10-22 23:16:53+00:00,[],"[{'name': 'williamsf1', 'url': 'https://genomic.social/tags/williamsf1'}, {'name': 'charlesleclerc', 'url': 'https://genomic.social/tags/charlesleclerc'}, {'name': 'lewishamilton', 'url': 'https://genomic.social/tags/lewishamilton'}, {'name': 'usgp', 'url': 'https://genomic.social/tags/usgp'}, {'name': 'F1', 'url': 'https://genomic.social/tags/F1'}]",0,0
472,111281587953985204,<p>pspspsps</p>,2023-10-23 00:51:17+00:00,[],[],0,0
482,111281602823793840,"<p>So, this NPR story has a quote by a former Meta exec.</p><p><a href=""https://www.npr.org/2023/10/21/1207795093/ceo-of-web-summit-tech-conference-resigns-over-israel-comments"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">npr.org/2023/10/21/1207795093/</span><span class=""invisible"">ceo-of-web-summit-tech-conference-resigns-over-israel-comments</span></a></p><p>And this Fortune article has a lot of confirmations by different organisations:</p><p><a href=""https://fortune.com/2023/10/20/web-summit-google-meta-stripe-pull-out-israel-hamas-gaza/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">fortune.com/2023/10/20/web-sum</span><span class=""invisible"">mit-google-meta-stripe-pull-out-israel-hamas-gaza/</span></a></p>",2023-10-23 00:54:52+00:00,[],[],0,0
507,111281615488555864,"<p>OK, this one has some actual quotes.</p><p><a href=""https://www.theregister.com/2023/10/20/web_summit_cancelations_israel/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">theregister.com/2023/10/20/web</span><span class=""invisible"">_summit_cancelations_israel/</span></a></p><p>They're mostly just, ""We pulled out"", though.</p>",2023-10-23 00:58:08+00:00,[],[],0,0
